书名,价格,作者,出版社,好评率,简介
算法导论（原书第3版）（全球超过50万人阅读的算法圣经！算法标准教材，国内外1000余所高校采用）影响全球千万程序员的“算法圣经”！国内外千余所高校采用！MIT四大名师联手铸就,122.90,科尔曼,机械工业出版社, 90%,MIT四大名师联手铸就，被誉为 计算机算法的圣经 ！全球1000余所大学作为教材或教学参考书使用
行政法与行政诉讼法练习题集（第六版）（21世纪法学系列教材配套辅导用书）,64.00,李元起,中国人民大学出版社, 100%,
宏观经济学习题集（第三版）（21世纪经济学系列教材）配套高鸿业经典教材，兼顾多种《西方经济学》教材，精编习题，答案详细；题型全面，重点突出,48.00,张顺,中国人民大学出版社, 90%,
跨文化交际(汉语国际教育硕士系列教材)套专为汉语国际教育硕士量身打造的系列教材，为核心课教学提供全面系统的解决方案！,46.60,祖晓梅,外语教学与研究出版社, 90%,《跨文化交际》一书旨在提高国际汉语教师的跨文化交际能力，包括价值观、语言交际、非语言交际、跨文化适应、跨文化的人际交往、跨文化交际的心理与态度、教育领域中的跨文化交际、语言文化教学方法等方面的内容。 《跨文化交际》*主要的特点是理论联系实际，除了阐述跨文化交际学的基本概念和核心理论之外，还分析了许多与汉语教师相关的真实跨文化交际案例。另外，每章提供了对汉语教师的建议、思考讨论题、交际性活动和任务、延伸阅读书目等，充分体现了本书理论联系实际、重在培养学习者综合能力的特点。 《跨文化交际》适用于：汉语国际教育硕士专业核心课程 跨文化交际 ；汉语国际教育硕士专业拓展课程 中外文化交流专题 ；国家公派汉语教师及志愿者培训；国际汉语教师资格证书相关考试；对外汉语相关专业本科生及研究生；有志于
战略管理：概念与案例（第13版）（工商管理经典译丛）团购电话4001066666转6,89.00,迈克尔・希特、杜安・爱尔兰、罗伯特,中国人民大学出版社, 90%,
现代永磁同步电机控制原理及MATLAB仿真,43.70,袁雷,北京航空航天大学出版社, 90%,
产品设计造型戴森高级设计工程师力作D&AD全球产品设计大赛一等奖,124.20,彼得・戴布斯、Peter、Dabbs,机械工业出版社, 100%,
职业生涯研究与实践的41个理论,93.10,周文霞、谢宝国、潘静洲、孟慧副,北京大学出版社, 100%,《职业生涯研究与实践常用的41个理论》是一本对职业生涯研究经典理论进行整合与展望的著作，力图反映职业生涯管理理论和实践的全貌，帮助读者加深对职业生涯管理的认识和理解。本书适合以下人群阅读：讲授职业指导课程的老师和从事学业指导、就业工作、职业指导、职业咨询的人员；从事职业生涯领域研究的学者；规划自己的职业人生、 为自己的职业发展高度负责的人。
战略管理：建立持续竞争优势（第17版）（工商管理经典译丛）,81.60,弗雷德・戴维、福里斯特・戴维、梅雷迪思,中国人民大学出版社, 100%,
供应链管理（第7版）（工商管理经典译丛）,75.00,苏尼尔・乔普拉,中国人民大学出版社, 90%,
