书名,价格,作者,出版社,好评率,简介
深入理解微电子电路设计――数字电子技术及应用（原书第5版）系统论述数字电子技术的原理、应用与关键技术，由浅入深讲解数字电子技术相关电路的性能、分析及设计方法。,66.90,理查德・C.耶格、Richard、C.Jaeger、特拉维斯・N.布莱洛克,清华大学出版社, 100%,本书全面介绍了数字电子技术的基础知识及其应用，从逻辑电路的逻辑门、布尔代数等概念出发，详细阐述了数字电子技术的基本概念及分析设计原理。本书主要讲解逻辑门和存储单元的设计，对NMOS、PMOS逻辑设计、存储器单元及其周边电路、触发器及双极型逻辑设计都进行了详细的论述，并且包含了对ECL、CML和TTL的讨论。
双城记（译文名著精选）,34.90,狄更斯、张玲、张扬,上海译文出版社, 100%,
公共经济学（第二版）唐任伍主编,40.70,唐任伍,科学出版社, 20%,
现代激励理论与应用（第三版）,34.70,俞文钊、李成彦,东北财经大学出版社有限责任公司, 0%,
低压配电网拓扑智能识别低压配电网拓扑智能识别技术，是大数据在电力系统中的应用场景之一，更是支撑新型电力系统新业态、新模式的基础。,58.00,周来、林国营、张勇军,清华大学出版社, 60%,在以 互联网 智慧能源 为能源发展战略， 碳中和 为能源发展目标的背景下，越来越多的分布式电源、充电桩在低压配电网（LVDN）中接入，间歇性电压越限和三相不平衡将成为其安全运行的主要挑战之一，而LVDN电压管理的支撑基础是拓扑智能识别。因此，LVDN拓扑智能识别和电能质量管理成为电网行业促进分布式电源、储能、电动汽车并网以及打造高质量现代供电服务体系的关键技术需求。本书围绕LVDN的 变-相-线-户 拓扑关系拓扑结构识别理论方法与工程应用展开介绍。 本书共分为十个10章节，除第1章首章绪论外，内容划分上可归为三部分 低压拓扑识别、低压拓扑信息拓展应用、低压配电系统技术展望。全书体系完善、内容丰富，、语言平实，、既有理论方法知识，又有工程实践案例，能够帮助读者更加系统地认识低压配电网拓扑智能识别和电压管理优化。本书
环境犯罪学与犯罪分析（第2版）2020年中国人民公安大学111引智项目资助成果；北京市自然科学基金面上项目（9192022）资助成果,96.80,,清华大学出版社, 100%,《环境犯罪学与犯罪分析（第2版）》为一本关于环境犯罪学理论与研究方法的学术著作，全书均由目前国际上该领域*代表性的专家学者所撰写，理论性和学术性强，可读性较好。
力学与理论力学（上册）（第二版）中国科学技术大学经典著作，考研参考，竞赛,47.50,杨维,科学出版社, 100%,
高等院校新概念医学英语系列教材医学英语视听说教程,33.80,吴克蓉,世界图书出版公司, 90%,《高等院校新概念医学英语系列教材：医学英语视听说教程》是《高等院校新概念医学英语系列教材》之一，内容覆盖人体重要器官或常见病症，帮助医学生掌握的基本专业词汇，难易程度适中。教材精选西方国家医学课程视频，让学生不出国门轻松获得留学体验。大量人体解剖的视频使枯燥的医学词汇变得生动易学。全书共12单元，每单元包括健康通识、医学课堂、电影剪辑三部分。健康通识部分包括音频（Audi01）、视频（Vide01），出现的医学专业词汇量较少，适用于不同层次的各类学生。医学课堂部分包括音频（Audi02）、视频（Vide02），出现大量的医学专业词汇，词汇覆盖面广但不生涩，特别适合有基础医学知识的学生。电影剪辑部分包括视频（Vide03），涉及医患冲突、医疗事务、医学伦理等不同内容，兼顾了娱乐性和思想性，适合于任何英语课堂。全书单元
大学战略管理本书的特色有三：一是国内外系统全面研究大学战略管理的著作；二是作为教育专业博士生必修课程和公共管理博士生的教材；三是内容的全面性、系统性、指导性和可操作性,96.00,林健,清华大学出版社, 100%,本选题基于作者近9年担任大学校长的理论研究和实践经历以及后续12年研究和教学的积累，基于系统全面提高高等学校系统管理和治理能力的初衷，基于作为核心课程培养 领导与管理 方向教育专业博士以及公共管理博士生的需要。本书的特色有三：一是国内外系统全面研究大学战略管理的著作；二是作为教育专业博士生和公共管理博士生的教材；三是内容的全面性、系统性、指导性和可操作性。
概率论与数理统计同步辅导,29.30,张天德,山东科学技术出版社, 0%,
轨道交通柔性牵引供电关键技术及其电能质量治理研究一本轨道交通与电力电子方面的专业书籍，详细介绍电力电子技术及柔性交直流供电系统的基本理论以及该理论在轨道交通中的应用。,66.00,林云志、金涛,清华大学出版社,0%,本轨道交通与电力电子方面的专业书籍，详细介绍电力电子技术及柔性交直流供电系统的基本理论以及该理论在轨道交通中的应用。
陈阅增普通生物学（第3版）辅导及习题集（吴相钰《陈阅增普通生物学（第3版）》配套考研辅导，全国中学生生物学联奥奥赛参考书第4版同步辅导http://product.dangdang.com/24058582.html,27.20,袁玲,崇文书局（原湖北辞书出版社）, 90%,推荐购买： 陈阅增普通生物学（第4版）同步辅导与习题集 推荐购买：王镜岩版《生物化学》（第三版）指定考研辅导 推荐购买：翟中和、王喜忠、丁孝明版 《细胞生物学》（第四版）指定考研辅导 推荐购买：朱玉贤版 《现代分子生物学》（第四版）指定考研辅导 推荐购买：戴灼华、王亚馥、粟翼玟《遗传学》（第2版）指定考研辅导 本书以吴相钰、陈守良、葛明德主编的《陈阅增普通生物学》（第3版）（高等教育出版社）为蓝本，及教材同步辅导与应试（本科考试、研究生考试）强化练习与一体。结合第2版和《普通生物学 生命科学通论》（第1版）的内容，总结分析各章要点，并针对各章节内容配套相应习题，精选近年来全国知名院校与科研院所的普通生物学研究生入学考试真题，并对真题进行了详细解答。 本次改版，我们还
中学地理板书板画教程,43.70,王昌勇,哈尔滨工业大学出版社, 100%,
2024版现代汉语同步辅导与习题详解手写笔记搭黄廖版现代汉语第六版童程,63.80,童程,北京理工大学出版社, 0%,本书不仅包含考研题目练习，同时对基础知识进行考试分析及适当拓展，好学好用； 本书附赠延展学习小册子（PDF），购买即可获得，帮助考生全面深入学习现代汉语； 本书配套课程讲解知识点及重点教材习题、练习题，将知识学习与考试题目结合讲解，好理解。
财务共享服务,37.70,陈虎、孙彦丛,东北财经大学出版社有限责任公司, 0%,
计算机图形学基础(OpenGL版)（第2版）经典基础，强调编程，配套资源丰富，服务教学,58.00,徐文鹏、都伟冰、曾艳阳、雒芬,清华大学出版社, 100%,《计算机图形学基础（OpenGL版）（第2版）》面向初学者，以经典图形学知识为主，重点介绍三维图形技术和图形流水线；配有完整的实验教程与模拟试题，方便教学使用
王力古代汉语（校订重排本）辅导与考研习题集（第三册）（第3册古文翻译，习题汇编）汉语言文学类专升本，本科辅导，考研冲刺参古文今译+重难点精析王力版《古代汉语》配套辅导，考研同步辅导书4册购买链接：http://product.dangdang.com/26482851.html,33.00,沈祥源,崇文书局（原湖北辞书出版社）, 100%,《古代汉语辅导与考研习题集》是根据王力主编的《古代汉语》而编写的一套考研辅导资料。古代汉语作为中文系和一些涉古专业考研的基础科目，是考生复习的重点和难点。本书对全书的知识点进行了较为系统的归纳、概括，并摘编了一些古代汉语的相关练习，搜集了历年部分考研试题，以期能对考生们的复习有所帮助。 本辅导书主旨在于提炼一些规律性的知识，帮助考生掌握一些读古文的要领，如标点、今译、古今词义和语法的差异等，起到举一反三的功效。从专业角度讲，一、二册是重点，三、四册为巩固所学，兼及些文学方面的内容。
世界典型反无人机装备发展研究（彩图版）,85.40,徐海洋、唐静霖,北京航空航天大学出版社, 100%,"本书采用图文结合方式，全彩色印刷，全面梳理和总结了世界主要国家反无人机装备建设谱系,系统地介绍了典型反无人机装备的承研单位/企业、装备构型、核心关键技术、性能指标、应用情况，研究和分析了各国反无人机装备技术发展趋势，对读者了解全球反无人装备的研究进展重要的参要资料。"
插图全程教学（修订本）用丰富的图例阐释插图创作的艺术规律和方法,66.00,高荣生,中国青年出版社, 100%,高荣生教授在中央美术学院从事插图教学近三十年，他的课程被评为 北京高等教育精品教材 。本书既是插图教学经验的结晶，也是插图学术研究的成果，书中以系统的理论、丰富的图例阐述了插图艺术的精髓，是一本难得的好教材。
管弦乐配器教程(上.中.下)（附扫码听音乐）,289.10,杨立青,上海音乐出版社, 90%,
王力古代汉语（校订重排本）辅导与考研习题集（第四册）（第4册古文翻译，习题汇编）汉语言文学类专升本，本科辅导，考研冲刺参古文今译+重难点精析王力版《古代汉语》配套辅导，考研同步辅导书,33.00,沈祥源,崇文书局（原湖北辞书出版社）, 100%,本书是同王力《古代汉语》配套使用的教学辅导书，是适应报考硕士研究生备考的需要而编写的。希望通过它能帮助考生切实掌握古代汉语这门课程，提高考试的命中率，并为继续深造打下坚实的基础。 学好古代汉语，首先要学好古汉语文选，特别是要学好先秦文选，因为它是古文的源头。掌握了这个源头，就可以顺流而下，中古以后的文章就迎刃而解了。王力本教材一、二册文选部分全部是先秦作品，我们对其中的每一篇都做了古文今译，诗经、楚辞部分还做了言文对照的翻译，更为重要的是；对每篇课文所包含的古汉语基础知识都进行了分析、归纳和整理，用 考点提示 的形式，一般分文字、词汇、语法、修辞四个方面做层次分明的讲述(当然，因文体的变化和内容的差异而有不同的侧重点)，如 文字 下分古今字、通假字、异体字、繁简字等等
抽象代数习题精选精解,15.40,张天德、刘红星,山东科学技术出版社, 90%,《抽象代数习题精选精解》：抽象代数是数学专业的一门重要基础课程，也是大学生代数训练的一门重要课程。由于许多学生对于这门课程的学习感到比较困难，对其中的内容感到比较抽象，为了帮助读者更好的学习抽象代数这门课程，我们编写了《抽象代数习题精选精解》。
服装制版(基础篇+提高篇)第二版全套2册纺织服装高等教育“十三五”部委级规划教材,81.50,张文斌,东华大学出版社, 100%,
财务学原理（第三版）,32.30,樊莹、罗淑贞,东北财经大学出版社有限责任公司, 0%,
食品杀菌与防腐保藏技术,66.00,曾祥奎、江水泉,哈尔滨工业大学出版社, 0%,
中国古代音乐史话,36.90,,上海音乐出版社, 100%,
医学论文写作（第2版）21世纪高等院校精编教材・高等医学院校系列规划教材,42.60,姚仁斌,安徽大学出版社, 60%,
人生的枷锁（上下册）(毛姆文集）,95.10,毛姆、张柏然、张增健、倪俊,上海译文出版社, 100%,《人生的枷锁(上下)(精)/毛姆文集》是英国现代著名作家毛姆的*主要的作品。书中主人公菲利普 凯里童年和青年时期的辛酸遭遇，大多取材于作家本人早年的生活经历，但作家打破了事实的拘束，虚构了某些重大情节，塑造了菲利普 凯里这一人物形象。小说通过描写主人公的曲折遭遇，揭露了社会从精神到物质上对人的折磨和奴役。这部小说自出版以来，始终未绝版，至今广为世界各国读者所传诵。
机械制图习题集（第四版）程莲萍著,38.60,程莲萍,科学出版社, 0%,
逆流,66.00,于斯曼、余中先,上海译文出版社, 100%,翻译家余中先参考了多个法语版本，精心翻译，并做译后记。书中附录了和于斯曼同时代作家对《逆流》的评价，是一份宝贵的参考资料。译者还搜集到于斯曼故居、墓地、手稿等照片，一并放在书中，为读者还原一个更加丰满的于斯曼。
《传感器原理及应用》例题与习题,17.50,王化祥、张淑英,天津大学出版社, 100%,
高校课程思政――共识、设计与实践精选27篇关于高校课程思政改革方面的优秀论文，分享课程思政实操方法，建议配套《课程思政：我们这样设计》使用。教材服务QQ：1815317009。,66.00,李红霞、邓文钱、滕培圣、王琳,清华大学出版社, 100%,
粤语入门速成班,31.00,宋健榕、余小慧,哈尔滨工业大学出版社, 100%,
环境法练习题集（第二版）（21世纪法学系列教材配套辅导用书）团购电话4001066666转6一套畅销二十年、遍及全国600所法学院校的教学辅导书，教师人人推荐，学生口口相传。一书在手，考试不愁。,29.00,梁文婷、周珂、史一舒,中国人民大学出版社, 90%,
Python大数据处理库PySpark实战使用Python进行Spark分布式机器学习,76.60,汪明,清华大学出版社, 50%,PySpark可以对大数据进行分布式处理，降低了大数据的学习门槛。本书是一本PySpark入门教材，重点讲述PySpark安装、PySpark用法、ETL数据处理、PySpark机器学习及其实战，*后给出一个综合实战案例。本书逻辑线索清晰，内容体系合理，适合有一定Python基础的大数据分析和处理人员学习使用。
"线性系统理论基本教程清华大学郑大钟老师跨越40年的权威经典教材,现在倾心推出了内容精编、高度浓缩、教学适用性强的基本教程！",105.70,郑大钟、赵千川,清华大学出版社, 100%,清华大学郑大钟老师数十年磨一剑铸成的经典教材《线性系统理论》，陪伴一代又一代学子成长。应广大读者的要求，郑大钟教授和赵千川教授对《线性系统理论》适当删减了理论推导，形成《线性系统理论基本教程》，在降低工科背景读者学习难度的同时，保持了体系结构和基本特色，重点描述基本理论中各结论的正确内涵、直观意义和需要满足的条件，引导读者正确和灵活运用理论去解决现实世界中的问题。在内容选择和取舍上，力求以少而精的原则论述线性系统理论的基本概念、基本方法和基本结论。
高等数学同济第七版上册同步测试卷精编精解,24.10,尹逊波、张卫,高等教育出版社, 0%,
系统解剖学学习指导盛华均，汪克建,36.90,盛华均、汪克建,科学出版社, 100%,
MATLAB高等数学分析(下册)采用MATLAB编程的方法实现高等数学计算工程能力演练，涵盖项目实践学习、计算思维培养！MathWorks中国技术总监、MathWorks中国教育事业部总经理联袂推荐,57.20,卓金武,清华大学出版社, 100%,科学技术的发展离不开数学。数学在工程或产品中的体现是程序，对于未来的科学家和工程师来说，通过计算机编程进行数学计算是一种重要的能力。《MATLAB高等数学分析》就是培养读者掌握这种能力的一部专业图书。本书紧紧围绕我国高等院校普遍开设的 高等数学 课程教材，通过MATLAB编程的方法，进行科学的推理与演算，将书中的重要数学理论通过MATLAB程序设计实例呈现出来。这种通过MATLAB实践的项目式学习既能培养工程实践能力又可以促进理论学习，容易让读者体验到解决问题的成就感，从而形成正向反馈机制，激励读者继续学习，培养学习兴趣。
颈肩腰腿痛的精诊简治,66.90,齐伟,科学出版社, 0%,
Mastercam2022数控加工基础教程随书赠送立体化教学包：实例文件、教学课件、教学视频，获取地址见书前言和封底二维码。教材服务QQ:1815317009,76.60,戴坤添、张国轩、陈如香,清华大学出版社, 100%,图书特色 由基础知识、操作技能、应用思路、实战经验构成四位一体教学内容，充分体 现数控加工技术的有机组成，详解数控加工技术的方法和技巧。 面向应用，实例丰富，切实提高读者的实际动手能力。对于实例中的关键步 骤，也都给予特别说明，使读者掌握相应的关键技术。 章前给出学习目标，章后附有针对性的练习，使读者在学习过程中有的放矢， 并加深对知识点的理解和掌握。
大学生数学手册（第二版）,20.90,张天德,山东科学技术出版社, 0%,
战车模型涂装进阶指南1：旧化和特殊效果涂装技巧军模高手石头老师翻译、注释、点评，并献上详尽的视频教程分享。《模型世界》杂志执行主编吴迪、模型岛岛主李欣、模型网站长苍紫，模型制作前辈庞明雨先生倾力推荐！,145.50,鲁本・冈萨雷斯、Ruben、Gonzalez,机械工业出版社, 100%,模型涂装技术指南 模型涂装技术指南是机械工业出版社与西班牙AK-interactive公司合作，针对广大模型爱好者在模型涂装方面常见的问题提供解决方案，力求打造的一套实用技术工具书。 《战车模型涂装进阶指南》（F.A.Q.3）是广大模友众所周知的《坦克模型涂装技术指南》（F.A.Q.2）的全新升级版。全书教程中的涂装技法是当下国际模型竞赛中流行的和推崇的，教程案例也选自第二次世界大战至今较新型号的战车装备，包括格式坦克、装甲车、军用卡车等。F.A.Q.3的翻译和出版，将为模友拓展视野、提升技艺，做出属于自己的个性精华作品提供有力的技术支持。 《战车模型涂装进阶指南》（F.A.Q.3）由国内军模高手石头老师翻译、注释、点评，并献上详尽的视频教程分享。 《模型世界》杂志主编 吴迪 模型岛岛主 李欣 模型网站长 苍紫 模型制作前辈 庞明雨 联袂推荐！
精益生产与管理（第二版）朱建军等著,43.70,朱建军,科学出版社, 0%,
ITIL4与DevOps服务管理认证指南（第2版）,58.00,刘通,哈尔滨工业大学出版社, 0%,
音乐美学要义（修订版）,27.20,胡戈・里曼,上海音乐出版社, 100%,
英语听力入门3000(学生用书2)(含盘)点击购买学生用书2(修订版),33.00,张民伦,华东师范大学出版社, 90%,
中医基础理论（第2版）,46.60,严灿、朱爱松,科学出版社, 0%,
曼昆经济学原理(宏观经济学分册・第8版）同步辅导与习题集经管类专升本，本科辅导，考研冲刺参考书(含考研真题)配套课后习更多众邦辅导进店http://store.dangdang.com/1007,29.60,张跃平,西北工业大学出版社, 70%,
中国高等艺术院校精品教材大系上海交通大学创新设计丛书插画设计,59.20,王炜,人民美术出版社, 100%,【图书推荐】 在现代的信息传达中，插图是一个创造故事的好工具。插 图设计扩展观众文本阅读和信息传达，并为其插上情感想象的翅膀。王炜老师的《插画设计》一书，由表及里地全面展示了插画发展的历史，从学理上分析插画设计的特性、表现形式和手法、材料与技法，其中诸多案例的生动解读，更表达了作者个人的 审美体验和领悟。数字时代的插画设计，随着技术的日新月异，创作手法和传达方式都在不断变化，但是强调审美性、交互性、趣味性的视觉特征始终是插画动人之处。相信这本书一定会令学习者获益良多，特此推荐！ 张晶，华东师范大学美术学院副院长、教授、博士生导师 插画设计应用面非常广泛。本书首先通过经典案例为插画爱好者开启成为插画家的理想之门，之后逻辑清晰地讲解了理论知识，并根据插画应用情况，分门别类地介绍
个体心理危机实时监测与干预系统研究两重监测，三级预警，系统平台，直接启用。,86.30,莫雷、王瑞明、范方、郑希付、张小远,清华大学出版社, 100%,《个体心理危机实时监测与干预系统研究》一书对心理危机个体进行 两重监测，三级预警 的动态性实时监测与预警，有效开展个体心理危机监测与干预工作。 本书特色： 全面深入：涵盖研究目的、研究对象、研究思路与方法、研究步骤/过程、实施程序、研究结果、数据整理与分析 针对性强：聚焦于个体心理危机实时监测与干预系统，在研究成果的基础上，进行平台系统的建构与运作模式 图示表格：全书包括118张图，97个表格，辅助文字，加深理解
课堂教学技能（教师教育课程系列教材）,20.00,王��,福建教育出版社, 90%,
会计发展史（第五版）,37.00,王建忠、柳士明,东北财经大学出版社有限责任公司, 0%,
海关英语综合教程（第一册）,48.70,郑继正,中国海关出版社, 0%,
新视域全国高等院校珠宝首饰设计专业十三五重点规划教材――贵金属材料与首饰制作本书以通俗易通的语言介绍了各种饰用贵金属的性质和特点和珠宝首饰手工制作所需要的基本技巧。书中还收录了很多金属原料表，是珠宝设计的用书。,67.90,徐植,上海人民美术出版社, 0%,本书以通俗易通的语言介绍了各种饰用贵金属的性质和特点和珠宝首饰手工制作所需要的基本技巧。书中还收录了很多金属原料表，是珠宝设计的用书。
汽车CAN总线系统原理、设计与应用,59.00,罗峰、孙泽昌,电子工业出版社, 90%,《汽车CAN总线系统原理、设计与应用》全面介绍了车载网络技术的现状，详细介绍了CAN总线及SAEJ1939 针对车载CAN总线系统的应用设计进行了专门的论述 可作为汽车电子专业工程师及汽车电子方向学生的专业参考书
工程机械手册――市政机械与游乐设施国际出版基金《工程机械手册》其中一卷，是广大的市政机械与游乐设施管理和技术人员可以参考的实用工具书，为市政机械与游乐设施选型提供支持与帮助。,289.10,黄兴华、舒文华、周崎、盛金良,清华大学出版社, 0%,"《工程机械手册 市政机械与游乐设施》选择了市政机械与游乐设施领域的五大类产品，市政机械、游乐设施、洗车修车设备、停车设备和园林机械等五篇组成，主要特点如下: （1）根据行业骨干企业的信息,参考市政机械与游乐设施设备产品资料，经过归纳提炼，以数据表格、图形等形式展现，方便学习和使用。 （2）五篇内容既相对独立又相互联系,方便不同业务范围的管理及技术人员使用。 （3）本手册中所有的市政机械与游乐设施数据以国内外标准、行业标准为基础,贯彻执行了标准和法定计量单位。 （4）汇集了市政机械与游乐设施资料较为齐全，内容与相关的机械设计手册、设计规范等书籍有一定的互补性。"
线性代数同济第六版同步测试卷精编精解,22.10,尉伟雄、张卫,高等教育出版社, 100%,
测量学实践指导,14.60,程海琴、马国正,西南交通大学出版社, 0%,
社会保障专业英语,33.10,韩丽,中国劳动社会保障出版社, 80%,
VisualBasic6.0程序设计计算机应用能力体系培养系列教材；全国高等学校（安徽考区）计算机水平考试配套教材；安徽省高等学校“十三五”省级规划教材；工程应用型院校计算机系列教材,47.00,胡学钢、张德成、魏星,安徽大学出版社, 0%,本书是Visual Basic 6.0程序设计的入门教材，根据 2019年全国高等学校（安徽考区）计算机水平考试教学（考试）大纲 编写，循序渐进地讲解了Visual Basic语言基础、可视化编程基础、程序控制结构、用户界面设计、数组和自定义类型、过程、菜单、文件、数据库编程基础等内容，体系完整、内容详实、实例丰富、通俗易懂、实践和操作性强，适合高等院校学生学习使用。
高等数学（第八版・上册）同步辅导及习题全解全新第八版，配套同济第八版教材,31.10,蔡全领、苏志平,水利水电出版社, 100%,本书为经典教材《同济大学数学科学学院编写的《高等数学（第八版 上册）》的配套教辅读物，旨在使广大读者理解基本概念，掌握基本知识，学会基本解题方法与解题技巧，进而提高应试能力。本书内有二维码，读者可扫码观看课后习题、每章必考知识点及考研重点与真题等讲解微视频，具有较强的针对性、启发性、指导性和补充性。
C程序设计试题汇编（第四版）谭浩强老师主编，经典C语言程序设计考试辅导教材，根据全国计算机等级考试二级C语言程序设计考试大纲（2022年版）修订。,66.90,谭浩强、鲍有文、周海燕、赵重敏、鞠慧敏,清华大学出版社, 0%,本书是C程序设计考试辅导类教材中经典，累计发行超30万册。根据全国计算机等级考试二级C语言程序设计考试大纲（2022年版）精心修订，精选1000余道试题，基本覆盖了C语言程序设计课程的全部内容。试题形式包括选择题、填空题和编程题三类，且在书末提供了全部试题的参考答案。本书将帮助读者学习C语言课程，参加C语言计算机统一考试的应试者将本书中受益匪浅。
"机械原理学习指导及习题集（2版）本书共八章,包括机构的组成和结构分析,平面机构的运动分析,机械中的摩擦、效率和自锁,机械的平衡,平面连杆机构及其设计,凸轮机构及其设计,齿轮机构及其设计和轮系及其设计。",40.70,孙志宏,东华大学出版社, 0%,
APPUI主题设计一本书教您轻松掌握Photoshop制作APPUI的设计思路和制作过程！超值赠送素材、效果文件和高清教学视频,77.40,周明明,清华大学出版社, 100%,《APP UI主题设计》的特色如下： 1. 理论与实例结合，专业性强 本书将APP UI设计的相关理论与实例操作相结合，不仅能使读者学到专业知识，也能使读者在实例操作中掌握实际应用，从而全面掌握APP界面的设计方法。 2. 案例实用且丰富，实操性强 本书前四章为APP界面基础案例的讲解，包括APP界面中的常见元素与控件等，后五章为完整的APP界面案例讲解，涵盖了游戏、音乐、社交、购物理财和宠物等热门APP界面。书中案例的实操性强，讲解详细，可以帮助读者由浅入深地学习，终掌握绘制方法。 3.实操与心得结合，全面性强 本书在每章的结尾都添加了 设计师心得 模块，讲解APP界面设计中的行业知识，知识更全面，使得读者可以在练习制作案例之余，进一步了解同种类型APP界面的相关内容，拓宽眼界。 4. 视频与书本结合，轻松学习 本书配套资源包括书中所有案例的
1007031简谱基本乐理视唱练耳基础教程,39.50,李重光,湖南文艺出版社, 90%,该教程将基本乐理与视唱练耳两门音乐共同基础课合二为一。 每课为四部分：乐理知识，读谱提要，听觉训练．视唱练习。有讲、有练、有说明，可以在教师指导下进行学习，也可以自学。
财务管理习题与案例（第5版）,21.60,秦志敏、牛彦秀、陈克兢,东北财经大学出版社有限责任公司, 80%,国家 级精品课程教材 国家 级精品资源共享课 普通高等教育 十一五 国家 级规划教材
写作学教程（第3版）,31.30,芮瑞、黄建成,安徽大学出版社, 100%,
机械精度设计与检测基础（第11版）,44.40,张也晗、刘永猛、刘品、马惠萍、李媛媛,哈尔滨工业大学出版社, 100%,
国际贸易实务（第4版）,36.50,傅龙海、吴慧君、陈剑霞,对外经贸大学出版社, 0%,
大国之材教学案例集本书以材料和材料人为主题，通过具体案例带你感受材料之美，并尝试将材料发展背后的科学知识、人文精神乃至理想信念进行传递，适合材料爱好者。,86.30,段玉平、周大雨、陈国清,大连理工大学出版社, 0%,本书根据材料科学与工程学科专业的特色和优势，深入研究本专业的育人目标，深度挖掘提炼专业知识体系中所蕴含的思想价值和精神内涵，从材料历史、杰出人物、大工程以及发展前沿等方面科学合理拓展专业课程的广度、深度和温度，增加课程的知识性、人文性，提升引领性、时代性和开放性。
CaptureOne22Pro高级实战教程,87.10,姜同辉,清华大学出版社, 80%,通过对《Capture One 22 Pro高级实战教程》的学习，能够使读者轻松上手，调出大师级的作品。
环境法学概论（第3版）―普通高等教育法学核心课教材,60.10,徐祥民,人民出版社, 0%,
国际金融（第十五版）（金融学译丛）,108.00,戴维・K.艾特曼、阿瑟・L、斯通希尔、迈克尔・H.莫菲特,中国人民大学出版社, 0%,
食品贮藏与保鲜,30.80,王向阳,浙江工商大学出版社, 0%,
画法几何及工程制图习题集（第七版）,27.20,朱辉,上海科学技术出版社, 100%,
机械工程专业英语（第21版）,31.00,施平,哈尔滨工业大学出版社, 0%,
李良荣新闻学概论（第七版）同步辅导与习题集新闻传播学专升本，本科辅导，考研冲刺参考书（含考研真题）可搭马工程重点教材新新闻学概论（第七版）同步辅导与习题集（含考研真题）,41.70,李滨,西北工业大学出版社, 0%,
西门子DesigoCC楼宇管理系统软件与实践西门子-DesigoCC-楼宇管理,34.60,赵会霞,中国电力出版社, 0%,本书作为Desigo CC控制系统的入门书籍，从使用者（操作员）的角度出发，全面详细地讲解了软件的基础知识和具体操作
信号与线性系统分析（第5版）同步辅导及习题全解（高校经典教材同步辅导丛书）,39.20,陈国通、苏志平,水利水电出版社, 0%,
数学分析（第五版・下册）同步辅导及习题全解（高校经典教材同步辅导丛书）【微视频版】名师一线经验大汇集重点难点视频微讲解课后习题解析多角度解题思路步骤更清晰,33.80,朱庆宇,水利水电出版社, 100%,名师一线经验大汇集 重点难点视频微讲解 课后习题解析多角度 解题思路步骤更清晰 方法技巧实用易掌握
西方教育名著述要（第2版）：西方教育、名著述要、近现代西方教育、思想大家,22.10,贾馥茗、后浪,北京联合出版公司, 100%,经典名著 西方教育发展***具里程碑意义的 12 部作品，无不渗透着近代教育学家的人本情怀。这些作品历经数百年沉淀，对当代教育学发展具有重要的指导意义。 名家手笔 中国台湾著名教育学家贾馥茗教授集数十年教学经验，择取教育名著精华，精要简述教育学理念，并结合新时代现状，兼顾东西方教育实践，为当代教育拨开迷雾，使研习者和读者大受其益。 理论与实践的完美结合 当今教育该走向何方？作者搜索二十余年，发现根据《中庸》似乎可以推究出中华文化中教育的本质。在本书中，作者怀抱着将理论与实践相结合的现实情怀，为未来的教育之路提供有益的思考。
高校思想政治教育工作质量评价研究,66.90,冯刚,人民出版社, 80%,
社会保障理论（第四版）劳动社权威出版，专业技术过硬，职业素质也要跟上团购电话：57993295团购微信：DDTG125。超过100团单更优惠！,50.50,李珍,中国劳动社会保障出版社, 90%,
高级微观经济理论（第三版）（经济科学译丛）,108.00,杰弗里・A.杰里、Jehle.G.A、菲利普・J.瑞尼、Reny.P.J,中国人民大学出版社, 100%,
消防安全知识学习手册安全生产月推荐用书知识点丰富，通俗易懂团购电话：57993295团购微信：DDTG125。超过100团单更优惠！,14.60,樊晓华,中国劳动社会保障出版社, 100%,
概率论与数理统计同步练习与测试（高等学校“互联网+”新形态教材）,27.00,费锡仙,水利水电出版社, 0%,
环境科学与工程通识教程（第二版）,95.10,卢桂宁、党志,科学出版社, 100%,
实用广州话教程附配套学习音频，方法一：扫封面二维码，方法二：下载世图粤读app，搜索书名或语种。,22.10,陈玉华,世界图书出版公司, 90%,
生物信息学实验,28.90,陈铭、原春晖,科学出版社, 100%,
"现代航空运输管理（第二版）夏洪山,韦薇",67.70,夏洪山、韦薇,科学出版社, 0%,
线性与非线性有限元原理与方法,86.30,刘波、刘翠云,北京航空航天大学出版社, 0%,"本书是作者结合多年计算固体力学的教学、科研以及软件开发工作,撰写的一本既全面涵盖计算固体力学主要基础知识和理论,又具有一定的深度、实用性和创新性的著作。可作为高等院校计算固体力学及相关专业的研究生的教材,也可以作为计算固体力学及相关领域的学者和工程技术人员的参考书。"
"种子学（第三版）张红生,王州飞",56.30,张红生、王州飞,科学出版社, 100%,
数独生本学材第6册,31.00,阳纯慧,科学出版社, 0%,
服装英语（英汉对照）服装专业入门,48.30,高秀明,东华大学出版社, 100%,
全国高等学校俄语专业四级考试历年真题解析,48.30,王利众,哈尔滨工业大学出版社, 100%,
高级服装面料创意设计与工艺,134.80,金伯利.A.欧文、倪明,东华大学出版社, 100%,
材料热力学与动力学,34.90,徐瑞,哈尔滨工业大学出版社, 100%,
气体动力学基础,56.30,陈浮,哈尔滨工业大学出版社, 100%,
初等数学专题研究,66.00,,哈尔滨工业大学出版社, 100%,
