类别,排序方式,图书名称,图书作者,作者简介,原价,折扣价,图书简介
电子,价格降序,模拟电路设计手册,[美]Bob Dobkin,Bob Dobkin工程副总裁兼首 席技术官凌力尔特公司Bob Dobkin是凌力尔特公司的联合创始人和首 席技术官。在1999年之前，他负责凌力尔特公司的新产品开发。在1981年创建凌力尔特公司之前，Dobkin先生曾任National Semiconductor先进电路开发部主管，为期11年。30多年来，他一直投身于高性能线性集成电路的开发事业，开发了许多工业标准电路。Dobkin先生拥有100多项线性集成电路的发明专利，著有50多篇学术专著和论文。他曾就读于麻省理工大学。Jim WilliamsJim Williams有着近30年的凌力尔特工作经历，曾任公司的应用工程师，后来成为公司的专职研究员。Jim于2011年6月辞世，他是一位具有传奇色彩的模拟电路设计者、各类疑难问题的完 美解决方案提供者、各类文档的编撰者，多年来一直是众多工程师的良师益友。1968年到1979年间，Jim曾在麻省理工进行教学和科研工作，专注于模拟电路设计。他曾在National Secmiconductor的线性集成电路小组工作3年，随后在1982年加入凌力尔特公司。1992年，他曾获 EDN杂志的年度创新奖，在 2002年被选入Electronic Design名人堂。他曾编撰有大量的文章和应用指南，是若干经典模拟电路设计专著的作者/编辑。,298.0,238.40,本书是一本综合性很强的参考书目，包括了众多电路设计方案和设计技巧，可用于解决所有电路问题。另外，本书详细剖析了各种应用实例，为工程师展示了其中的设计细节、设计理论、高水平解决方案等，是成功设计电路的重要参考。
电子,价格降序,业余无线电手册,[美]美国业余无线电转播联盟 著,,240.0,192.00,　　ARRL《业余无线电手册》被全球无线电爱好者奉为圣典，无论是无线电爱好者，还是电子工程师和技术人员，都能从该书中找到值得信赖的理论、标准和实践指导。本手册自20世纪20年代首次出版以来，每年出版一次，每一版都紧跟技术应用发展的**前沿。本书译自《The ARRL HANDBOOK》第85版。　　全书共分26章，全面包含了业余无线电领域所能涉及的电子、通信方面的知识。它不仅介绍了什么是业余无线电活动及业余无线电活动的内容，还从理论知识到实践指导，囊括了电子基础概念、元器件和电路模块、模拟和数字电路设计、故障检修技术、收发信操作技巧、无线电收发设备制作、天线设计等内容，包括许多优秀的电路设计和设备制作实例。　　本书是业余无线电爱好者的必备手册，同时，也非常适合从事无线电技术和通信技术的电子工程师和技术人员及相关专业师生阅读。
电子,价格降序,自旋电子科学与技术 精装版,赵巍胜 张博宇 彭守仲,赵巍胜中国科学技术协会第十届全 国委员会常务委员会委员、第八届教 育部科学技术委员会委员、北京航空航天大学副校长、自旋芯片与技术全 国重点实验室常务副主任、“空天信自旋电子技术”工信 部重点实验室主任、《集成电路与嵌入式系统》期刊主编。 2019 年入选IEEE Fellow，2020 年入选教 育部“长江学 者奖励计划”，2021 年获科学探索奖和中国电子学会科学技术奖（自然科学）一等奖，2022年获华为奥林帕斯先锋奖，2023 年获中国仪器仪表学会科学技术奖技术发明一等奖，2020—2022 年连续入选爱思唯尔“中国高被引学 者”，曾担任IEEENANOARCH 2016 及ACM GLSVLSI 2020 国际会议大会主席。2007 年获法国巴黎南大学（现巴黎萨克雷大学）物理学博士学位，2009 年任法国国家科学院研究员（终身职位），2013 年入职北京航空航天大学。长期从事自旋电子学、新型信息器件、新型非易失存储器等领域的交叉研究，取得了一系列原创性研究成果。2018—2023 年间，共发表ESI 高被引论文15 篇，总被引20 000余次，H 因子76；获150 余项发明专利授权，产权转让或授权使用50 余项。,218.0,174.40,自旋电子学是凝聚态物理学、物理电子学、微电子学、固体电子学等多学科交叉形成的一门新兴学科，目前已经成为信息科学与技术领域的重要组成部分。利用对电子自旋属性的控制以及电子自旋的诸多效应可以设计电子器件。例如，基于巨磁阻效应的自旋电子器件在硬盘上作为磁头的广泛使用，使硬盘容量在过去20年增长过10万倍，巨磁阻效应的发现者—法国科 学家阿尔贝·费尔（Albert Fert）和德国科 学家彼得·格林贝格（Peter Grünberg）也因此于2007 年被授予诺贝尔物理学奖。    本书基于自旋电子学领域近15年快速发展所取得的重要研究成果编写而成，力求具有前瞻性、系统性和实用性，内容涵盖从物理机理到电子器件、从特种设备到加工工艺、从芯片设计到应用场景的相关知识。全书共14章，主要包括自旋电子的起源与发展历程、巨磁阻效应及器件、隧穿磁阻效应及器件、自旋转移矩效应及器件、自旋轨道矩效应及器件、自旋纳米振荡器、斯格明子、自旋芯片电路设计及仿真、自旋芯片特种设备及工艺、自旋芯片测试与表征技术、磁传感芯片及应用、大容量磁记录技术、磁随机存储芯片及应用，以及自旋计算器件与芯片等内容。本书可作为高等学校自旋电子学相关专业研究生和高年级本科生的教材，也可作为自旋电子学相关领域科研工作者和工程技术人员的重要参考资料。
电子,价格降序,图解电子元器件,[美]埃里克·斯莱普菲尔（Eric Schlaepfer） 温德尔·H. 奥斯卡伊（Windell H. Oskay）,埃里克·斯莱普菲尔（Eric Schlaepfer）谷歌公司的硬件工程师，精通各类电子元器件，尤其擅长集成电路逆向工程。他在社交媒体上分享各类电子元器件的图片和知识，没想到得到了大量硬件爱好者的关注。他引以为傲的是他发起的MOnSter 6502项目，用全分立器件完 美复刻了传奇芯片MOS 6502的功能。温德尔·H. 奥斯卡伊（Windell H. Oskay）硬件工程师和科普作家，其代表作为The Annotated Build-It-Yourself Science Laboratory，也是“Evil Mad Scientist Laboratories”（疯狂科学实验室）项目的发起者之一。【技术审校简介】肯·施瑞夫（Ken Shirriff）担任本书的技术审校。他长久专注于让老旧计算机“起死回生”，并将这一神奇的过程以博客形式与同好分享。肯不仅是一位计算机科学专业博士、谷歌的天才程序员，他还有20项科技专利。【译者简介】林西北京外国语大学土耳其语和国际新闻与传播双学位，后于伦敦威斯敏斯特大学继续学习传播。毕业之后创立“小西设计所”，钻研与分享硬件拆解与装裱艺术，是bilibili科技区人 气up主，曾被数十家媒体报道，雷军、刘润等前辈也对这一创新予以高度评价。,199.0,159.20,我们每日用的智能手机、计算机和各种电器由数百个或数千个内部组件组成，每一个组件都经过精 确设计。这些小小的组件隐藏在设备内部，兢兢业业地执行着自己的任务。本书的目的是为你揭开隐秘的硬件内在美。作者用精美的实拍细节图和精简的文字展示了130余种常用电子元器件和电子产品的原理之巧和结构之美，让你在享受视觉盛宴的过程中，自然而然地掌握晶体管、传感器、开关、电机、集成电路、智能手机摄像头等各类硬件的工作原理。作者利用罕见的剖面视角，结合示意图，让各个电子元器件的工作原理一目了然。    本书适合电子发烧友、电子电气从业者、理工科学生，以及对电子学感兴趣的人阅读和欣赏
电子,价格降序,创客智造 让物体拥有“智慧”的物联网创意设计与应用（第3版）,[美]汤姆·艾戈（Tom Igoe）,本书的作者Tom Igoe是Arduino的创始人之一，在2014年深圳Maker Faire的活动中，他出席并讲述了自己对创客的理解。译者何为、肖文鹏、郭浩赟是北京创客空间的成员，其中肖文鹏（Flamingo）是北京创客空间的创始人之一。,198.0,158.40,本书介绍如何利用传感器、无线网络、Arduino等技术，使得电子设备能够具备一定的感知功能，并与其他电子设备之间互相通信，从而在一定程度上使之具备近似于智能物种的智慧功能。全书使用了33个制作项目，每个制作项目选择都非常精细，从原理、材料、制作步骤和应用方法都加以解读，项目涉及LED键盘控制、联网空气质量计量仪、蓝牙收发器、有毒化学物质报告器、红外远程测距仪、人脸扫描等，对于读者来讲新鲜有趣，看完同样会有制作的冲动。
电子,价格降序,小型智能机器人制作全攻略 第5版,[美]戈登·麦库姆（Gordon McComb),Gordon McComb的作品涵盖业余爱好者和机器人教育领域，有着30年的写作经验，被MAKE杂志称为“业余机器人之父”。他是《小型智能机器人制作全攻略》一书前4个版本的作者，该书在业余机器人爱好者中广受好评。被翻译为多种语言。译者臧海波网名“digi01”，国内创客，也是《无线电》杂志作者。在网络上有一定知名度和号召力，被爱好者称为“机器人DIY界的元老”。在《无线电》杂志上连载机器人制作、音频DIY等门类的文章，并参与翻译《爱上制作》系列图书。,189.8,151.84,小型智能机器人制作全攻略 是小型智能机器人制作的资料宝典，通过实例讲解，告诉你制作机器人需要掌握的综合知识，内容翔实，通俗易懂。初学者可以边玩边学，了解小型智能机器人设计、制作和使用的技巧。有一定制作经验的爱好者也可以从本书中“淘”到不少好点子。本书已经是第5版了，在前4版的基础上做了大量更新了，增加了新的电机、传感器和模块的项目应用实例。这本书意在启发你使用不同的组件来构建机器人，你可以按自己喜欢的方式把书里介绍的模块化的项目加以组合，创建出各种形状和尺寸、高度智能化的机器人。
电子,价格降序,自旋电子科学与技术,赵巍胜 张博宇 彭守仲,赵巍胜2007年获法国南巴黎大学物理学博士，2009年获法国国家科学院研究员与法国南巴黎大学客座教授，博士生导师，负责法国科学院基础电子研究所的自旋电子器件设计及建模团队， 2013年入职北京航空航天大学，10月组建自旋电子交叉学科研究中心，2014年与诺贝尔奖得主费尔教授共同组建费尔北京研究院并担任院长。空天信自旋电子重点实验室主任（2019年起），北航集成电路科学与工程学院院长，第九届北航校学术委员会委员。IEEE Fellow，担任IEEE电路与系统旗舰期刊IEEE Transactions on Circuits and Systems-I 总主编（2020年起），2021年起担任IEEE Fellow Selection Committee委员。2019年获中国电子学会优 秀科技工作者，2019年中国电子学会自然科学二等奖。,188.0,150.40,自旋电子学是凝聚态物理学、物理电子学、微电子学、固体电子学等多学科交叉的一门新兴学科，目前已经成为信息科学与技术领域的重要组成部分。利用对电子自旋属性的控制以及电子自旋的诸多效应可以设计电子器件。例如，基于巨磁阻效应的自旋电子器件在硬盘上作为磁头的广泛使用，使硬盘容量在过去20年的增长超过10万倍，巨磁阻效应的发现者法国科 学家阿尔贝·费尔（Albert Fert）和德国科 学家彼得·格林贝格（Peter Grünberg）也因此于2007年被授予诺贝尔物理学奖。    本书基于自旋电子学领域近15年快速发展所取得的重要研究成果，力求前瞻性和系统性，内容涵盖从物理机理到电子器件、从特种设备到加工工艺、从芯片设计到应用场景的相关知识。全书共14章，主要包括自旋电子的起源及发展历程、巨磁阻效应及器件、隧穿磁阻效应及器件、自旋转移矩效应及器件、自旋轨道矩效应及器件、自旋纳米振荡器、斯格明子、自旋芯片电路设计及仿真、自旋芯片特种设备及工艺、自旋芯片测试及表征技术、磁传感芯片及应用、大容量磁记录技术、磁随机存储芯片及应用和自旋计算器件与芯片。    本书可作为高等学校自旋电子学相关专业的研究生和本科生教材，也可作为自旋电子学相关领域的科研工作者的重要参考资料。
电子,价格降序,音响系统设计与优化,[美]Bob McCarthy 著,,180.0,144.00,　　本书对利用现代的技术和工具对音响系统的设计和调校这一当前扩声领域热门的问题进行了系统的理论阐述和分析。　　本书由3篇，共10章构成。　　第 1篇主要论述与“音响系统”密切相关的声学、电声学，以及心理声学和生理声学的基础理论，其目的是探究声音传输系统、扬声器和人耳听觉的相互作用，该部分全面地阐述了信号的传输流程、途经可能遇到的一些因素以及终端如何接收信号的问题；第 2篇论述的是音响系统的设计问题，即应用第 1篇论述的基础知识去设计一个音响系统的问题，其目的是全面理解创建一个成功的传输/接收模型设计所需要的工具和技术；第3篇论述的是音响系统的优化问题，它注重的重点是对设计和安装音响系统的测量，以及如何对其进行空间检证和校准的问题。
电子,价格降序,音频功率放大器设计手册（第六版）,[英]Douglas Self,Douglas Self在剑桥大学（Cambridge University）学习了工程专业，然后在Sussex University（苏赛克斯大学）学习了心理声学专业。他多年致力于专业级音频领域与高保真音响领域的设计，在音频领域获得了很多专利。他现在是音频设计领域的一个咨询工程师。,180.0,144.00,音响功率放大器类的图书受广大音响发烧友的追捧，Douglas Self在专业领域的研究以严谨而著称。国内许多音响发烧友沉迷于他的这本设计手册，他们经常将手册中的一些电路公布在网站上供广大音响烧友享用
电子,价格降序,天线手册(修订版),[美]美国业余无线电转播联盟 著,,180.0,144.00,　　本书包含设计完整的天线系统所需的所有信息。　　书中既有现代天线理论，也含有大量实用的、教您如何实现工程的实例。通过使用本书，读者可以获得一些**基本的天线设计知识，如：线天线、环形天线、垂直极化天线、八木天线等，并且以这些知识为基础，对高等天线的理论和应用加以阐释。本版中许多天线的设计直接得益于尖端计算机建模技术的进步。　　本书译自英文原版第 21版，该版经过广泛修订，在原来版本的基础上补充了大量的信息。这个版本包含了一些**新的内容，例如：高仰角入射天波(NVIS)技术、相控阵技术、**新的矢量网络分析仪(VNA)的S参数，Beverage接收天线，带电机驱动的移动天线，电离层的空间分布图等。您可以通过使用这本书来设计非常专业的天线，并使其**优化。　　本书适合业余无线电爱好者，天线技术和射频技术等相关专业的工程师、技术人员及大专院校师生阅读，本书的内容将为他们的学习与实践提供非常有益的帮助。
电子,价格降序,现代控制系统 第14版,[美] 理查德·C. 多尔夫（Richard C. Dorf），[美] 罗伯特·H. 毕晓普（Robert H. Bishop）,"Richard C. Dorf 美国加利福尼亚大学戴维斯分校的电气与计算机工程荣誉退休教授。作为该专业及其应用领域的知 名学 者，Dorf 教授已经撰写和编著出版了多本工程类教科书和手册，其中，The Engineering Handbook, Second Edition 和The Electrical Engineering Handbook, Third Edition 经久不衰。同时，Dorf 教授还是Technology Ventures: From Idea to Enterprise 的合著者之一，这是一本在技术创业领域具有指导意义的图书。Dorf 教授是电气电子工程师学会（IEEE） 会士和美国工程教育协会（ASEE） 会士，他还是PIDA 控制器的专利持有者。Robert H. Bishop 美国南佛罗里达大学工学院院长、应用工程研究所主任和电力工程系教授。在受聘南佛罗里达大学之前，Bishop 教授是马凯特大学工学院院长。更早之前，他是得克萨斯大学奥斯汀分校航天工程与机械工程系的系主任和杰出教授，荣获Joe J. King 专业工程成就奖。Bishop 教授的工程职业生涯起始于Charles Stark Draper 实验室。他编著出版了讲授图示化编程的教材Learning with LabVIEW，此外还是The Mechatronics Handbook 的合著者之一。Bishop 教授始终是一位活跃的教师和研究者，他作为作者或合作者发表了145 篇以上的期刊或会议论文。他还是全球工学院院长理事会的活跃成员，该理事会致力于建立全球范围的工学院院长网络，以便推进全球工程教育、研究和服务的发展。Bishop 教授是美国航空航天学会（AIAA） 会士、美国航天学会（AAS） 会士和美国科学促进会（AAAS） 会士，并长期活跃于美国工程教育学会（ASEE） 和电气电子工程师学会（IEEE）。【译者】谢红卫湖北洪湖人，博士，国防科技大学智能科学学院教授，博士生导师；主要学术方向为控制理论与控制工程，试验鉴定与评估技术，生物信息学；长期担任学校“自动控制原理”系列课程负责人，国防科技大学教学名师；获得军队院校“育才奖”银奖1 项，主讲的“自动控制原理”MOOC 课程获评国 家级线上一 流课程1 项，获得湖南省精品课程1项，湖南省教学成果二等奖1 项，编写、翻译出版教材和专著10 部；承担完成科研项目35 项，发表论文130 余篇，获得中国电子学会电子信息科学技术奖一等奖1 项，国防科学技术奖二等奖1项，湖南省自然科学奖二等奖1 项。",179.8,143.84,控制系统原理及相近课程是高等学校工科学生的核心课程之一。这是本书第十四版的中译本，主要内容包括控制系统导论、系统数学模型、状态空间模型、反馈控制系统的特性、反馈控制系统的性能、线性反馈系统的稳定性、根轨迹法、频率响应法、频域稳定性、反馈控制系统设计、状态变量反馈系统设计、鲁棒控制系统、数字控制系统等。    本书的例子和习题大多取材于现代科技领域里的实际问题，新颖而恰当。学习和解决这些问题，可以使学生的创造性素养得到潜移默化的提升。    本书可以用作高等学校工科（自动化、航空航天、电力、电子、机械、化工等） 本科高年级学生以及研究生的教材，也可以供从事相关工作的人员阅读参考。
电子,价格降序,KUKA工业机器人应用技术全集,龚仲华,龚仲华教授级高 级工程师国 家级科技成果开发功臣国 家级精品课程负责人工业机器人研发30多年国家技术开发优 秀成果奖编著国家规划教材24部出版技术专著25部,169.8,135.84,KUKA工业机器人应用技术全集 对KUKA工业机器人的应用技术进行了系统描述，内容涵盖机器人常识、机械结构、控制系统、程序编制、操作使用及安装调试、故障诊断、日常维护等。    全书以工业机器人应用为主旨，在介绍工业机器人发展历程、分类应用、组成特点、性能参数的基础上，深入说明了工业机器人本体、谐波减速器、RV减速器、变位器等关键部件的结构原理和安装维护要求；详细叙述了电气控制系统的组成部件、电路原理和连接要求；介绍了程序结构、编制方法及指令格式；完整阐述了手动操作与示教编程、程序输入与编辑、程序调整与变换及控制系统参数设定的方法；说明了机器人安装连接、零点校准、程序调试、系统监控、故障诊断与维修、日常维护等调试维修技术。本书内容丰富、选材典 型、案例丰富，可供工业机器人的使用人员、维修人员及高等学校机器人相关专业师生参考。
电子,价格降序,FANUC工业机器人应用技术全集,龚仲华,"龚仲华教授级高级工程师,从事工业机器人研发30多年国家技术开发优秀成果奖编著国家规划教材24部出版技术专著25部",169.8,135.84,本书对FANUC工业机器人的应用技术进行了描述，内容涵盖机器人常识、机械结构原理、程序编制、操作使用以及安装调试、故障处理、日常维护等。    全书以工业机器人应用为主旨，在介绍工业机器人产生、发展、应用分类、组成特点、性能参数的基础上，对工业机器人本体、谐波减速器、RV减速器、变位器等关键部件的结构原理、安装维护要求进行了深入阐述；对程序结构、编制方法及指令格式进行了介绍；对手动与示教操作、程序输入与编辑、程序调整与变换、控制系统参数设定的方法进行了详尽说明；对机器人安装连接、调整校准、程序调试、系统监控、系统备份以及故障诊断与维修、日常维护等调试维修技术进行了系统阐述。本书内容广、选材精、案例丰富，可供工业机器人使用、维修人员及高等学校师生参考。
电子,价格降序,数字音频技术(第6版),[美]Ken C. Pohlmann 著,,168.0,134.40,　　《数字音频技术(第6版)》是数字音频工程方面的权威指南，由业内先驱美国音响工程协会高级会员肯·C·波尔曼(Ken C. Pohlmann)先生撰写，现已更新到第6版。从书中你将获得对数字音频工具、技术和实战的深入了解。全书用一种清晰实用的风格描述了当今音频设备背后的各种技术。内容涵盖了从基本理论到**新技术发展前沿的方方面面，阐释了如何运用数字转换、处理、压缩、存储、流传输和播送等各种概念。有关蓝光、语音编码和低比特率编码的新章节也包含在了这本畅销指南的第6版中。
电子,价格降序,新概念模拟电路 上,杨建国,杨建国西安交通大学电气工程学院教授，博士生导师。长期从事模拟电子技术教学和科研工作，研究方向为精细信号产生和处理，多年指导大学生参加电子设计竞赛。,159.8,127.84,本系列图书共分3册：《新概念模拟电路（上）——晶体管、运放和负反馈》《新概念模拟电路（中）——频率特性和滤波器》《新概念模拟电路（下）——信号处理和源电路》。《新概念模拟电路》系列图书在读者具备电路基本知识的基础上，以模拟电路应用为目标，详细讲解了基本放大电路、滤波器、信号处理电路、信号源和电源电路等内容，包括基础理论分析、应用设计举例和大量的仿真实例。本系列图书大致可分为6个部分：第1部分介绍晶体管放大的基本原理，并对典 型晶体管电路进行细致分析；第2部分为晶体管提高内容；第3部分以运放和负反馈为主线，介绍大量以运放为核心的常用电路；第4部分为运放电路的频率特性和滤波器，包括无源滤波器和有源滤波器；第5部分为信号处理电路；第6部分为源电路，包括信号源和电源。本书涵盖第1～3部分内容，即晶体管、运放和负反馈部分。本系列图书适合大学阶段、研究生阶段学习模拟电路的学生使用，也适合从事相关专业领域的工程师使用，并可作为模拟电路教师的参考书。参加电子竞赛的学生也能通过阅读本系列图书而有所收获，书中有大量实用电路，对实际设计非常有用。
电子,价格降序,新概念模拟电路 下 信号处理和源电路,杨建国,杨建国西安交通大学电气工程学院教授，博士生导师。长期从事模拟电子技术教学和科研工作，研究方向为精细信号产生和处理，多年指导大学生参加电子竞赛。,159.8,127.84,本系列图书共分3册：《新概念模拟电路（上）—晶体管、运放和负反馈》《新概念模拟电路（中）—频率特性和滤波器》《新概念模拟电路（下）—信号处理和源电路》。《新概念模拟电路》系列图书在读者具备电路基本知识的基础上，以模拟电路应用为目标，详细讲解了基本放大电路、滤波器、信号处理电路、信号源和电源电路等内容，包括基础理论分析、应用设计举例和大量的仿真实例。本系列图书大致可分为6个部分：第1部分介绍晶体管放大的基本原理，并对晶体管电路进行细致分析；第2部分为晶体管提高内容；第3部分以运算放大器和负反馈为主线，介绍大量以运算放大器为核心的常用电路；第4部分为运算放大电路的频率特性和滤波器，包括无源滤波器和有源滤波器；第5部分为信号处理电路；第6部分为源电路，包括信号源和电源。本书涵盖第5～6部分内容，即信号处理和源电路部分。   本系列图书适合大学阶段、研究生阶段学习模拟电路的学生使用，也适合从事相关专业领域的工程师使用，并可作为模拟电路教师的参考书。参加电子竞赛的学生也能通过阅读本系列图书而有所收获，书中有大量实用电路，对实际设计非常有用。
电子,价格降序,新概念模拟电路 中 频率特性和滤波器,杨建国,杨建国 工学博士。西安交通大学电气工程学院教授、博士生导师。长期从事模拟电子技术教学和测试计量技术研究工作。 曾从事心电和血压为主的医学信息检测、基于图像处理的交通信息检测、驾驶员冲突避碰行为的微观建模和仿真、智能交通灯、新型 ADC 构架、物探中的电法测量、海洋声学检测等多学科研究工作，其中交通冲突避碰行为研究获国家自然科学基金资助。近年来，以低功耗、小信号中低频检测和处理为主。指导本科生参加全 国大学生电子设计竞赛。,159.8,127.84,本系列图书共分3册：《新概念模拟电路（1）——晶体管、运放和负反馈》《新概念模拟电路（2）——频率特性和滤波器》《新概念模拟电路（3）——信号处理和源电路》。《新概念模拟电路》系列图书在读者具备电路基本知识的基础上，以模拟电路应用为目标，详细讲解了基本放大电路、滤波器、信号处理电路、信号源和电源电路等内容，包括基础理论分析、应用设计举例和大量的仿真实例。    本系列图书大致可分为6部分：第1部分介绍晶体管放大的基本原理，并对典 型晶体管电路进行细致分析；第2部分为晶体管提高内容；第3部分以运放和负反馈为主线，介绍大量以运放为核心的常用电路；第4部分为运放电路的频率特性和滤波器，包括无源滤波器和有源滤波器；第5部分为信号处理电路；第6部分为源电路，包括信号源和电源。本书为第4部分内容，即运放电路的频率特性和滤波器。     本系列图书适合学习模拟电路的大学阶段、研究生阶段的学生使用，也适合从事相关专业领域的工程师，并可作为模拟电路教师的参考书。参加电子竞赛的学生，也能在本系列图书中有所收获，书中有大量实用电路，对实际设计非常有用。
数学,最新,高等数学（下册）精选750题,宋浩,宋浩，博士、副教授，数学视频UP主，全网粉丝超过700万，视频播放量超过2.9亿次。宋浩讲授的高等数学、线性代数、概率论与 数理统计、微积分、数学分析等课程，成 为大学生期末考试、考研、专升本复习的重要视频资源。其中，高等数学教学视频成为B站播放时长最长的专辑。此外，宋浩还主编了《高等数学讲义》《线性代数辅导讲义》《396 经济类联考数学讲义》《中学数学高等数学衔接教程》等作品。,69.8,55.84,高等数学由于其抽象性对很多初学者来说都是困难的，特别是对于其中的部分基本概念、基本逻辑思想尤其感到困难。全书由广受学生欢迎的数学教师宋浩编写，针对高等数学中的向量代数与空间解析几何、多元函数微分法及其应用、重积分、曲线积分、曲面积分以及无穷级数这6个重要板块，给出了750道经典与创新题目，并详细阐释了每一道题对应的解题思路。书中题型规划合理，覆盖题型全面，解题思路清晰，非常适合想要打牢高等数学基础，以及研究生考试备考考生使用。
数学,最新,高等数学（下册）精选750题(b站签名版),宋浩,宋浩，博士、副教授，数学视频UP主，全网粉丝超过700万，视频播放量超过2.9亿次。宋浩讲授的高等数学、线性代数、概率论与 数理统计、微积分、数学分析等课程，成 为大学生期末考试、考研、专升本复习的重要视频资源。其中，高等数学教学视频成为B站播放时长最长的专辑。此外，宋浩还主编了《高等数学讲义》《线性代数辅导讲义》《396 经济类联考数学讲义》《中学数学高等数学衔接教程》等作品。,69.8,55.84,高等数学由于其抽象性对很多初学者来说都是困难的，特别是对于其中的部分基本概念、基本逻辑思想尤其感到困难。全书由广受学生欢迎的数学教师宋浩编写，针对高等数学中的向量代数与空间解析几何、多元函数微分法及其应用、重积分、曲线积分、曲面积分以及无穷级数这6个重要板块，给出了750道经典与创新题目，并详细阐释了每一道题对应的解题思路。书中题型规划合理，覆盖题型全面，解题思路清晰，非常适合想要打牢高等数学基础，以及研究生考试备考考生使用。
数学,最新,经济数学——微积分学习指导与习题全解（第2版）（ 微课版）,杨慧卿,杨慧卿 杨慧卿，滁州学院数学与金融学院副教授。长期教授高等数学（理工类）、高等数学（经管类）、数学方法论、初等数学研究、初等数论等课程，主持多项安徽省教学研究重点项目，主持省级精品资源课程高等数学课程建设，参编、主编多本教材。,52.0,41.60,本书是与《经济数学—微积分（第4版）（微课版）》配套的学习指导书，在内容上符合教育部高等学校大学数学课程教学指导委员会制定的《经济和管理类本科数学基础课程教学基本要求》和《全国硕士研究生招生考试数学考试大纲（数学三）》的要求．全书共6章，主要内容包括函数、极限与连续，一元函数微分学—导数、微分及其应用，一元函数积分学—不定积分、定积分及其应用，多元函数微积分学，微分方程与差分方程，无穷级数．每章包括概念图、主要结论和方法、典型例题解析和课后习题全解4个部分．在每章的典型例题解析部分，包括基础题和考研题两个层次，考研题包括2018—2023年全国硕士研究生招生考试数学三试题中的大部分高等数学真题，并配有讲解视频．课后习题全解力求符合大学生的认知特点和接受能力． 本书可独立使用，作为经济管理类专业的学生学习“高等数学”课程或准备全国硕士研究生招生考试的解题指导书，也可作为“高等数学”课程教师的教学参考书．
数学,最新,线性代数（慕课版 第2版）,张天德 王玮,"山东大学数学学院教授，泰山学堂主讲教师，山东数学会高等数学专业委员会主任,全国大学生数学竞赛山东赛区负责人，全国微课程比赛山东赛区副主任兼秘书长,中学生英才计划导师,中国大学先修课程《微积分》特聘教授。作为主要成员完成国家科学基金及山东省自然科学基金项目6项，主持或参与省部级教学研究项目5项；。在《J.Comput.Anal.Applications》、《系统科学与数学》、《物理学报》、《工程数学学报》等杂志发表学术论文50余篇；在科学出版社、高等教育出版社、清华大学出版社等出版社出版高等学校数学教科书、参考教材和专著50余部，参与编写的《微积分》入选国家十二五规划教材。曾获“山东省优秀青年知识分子”“山东省中青年学术骨干、学科带头人”“全国大学生数学竞赛优秀指导教师”“泰山学堂毕业生最喜欢的老师”““英才计划优秀指导教师”“优秀科技创新导师”等称号。",49.8,39.84,本书是根据高等学校非数学类专业“线性代数”课程的教学要求和教学大纲，将新工科理念与国际化深度融合，结合山东大学数学团队多年的教学经验，并借鉴国内外优秀教材的特点编写完成.全书共6章，主要内容包括行列式、矩阵、向量与向量空间、线性方程组、矩阵的特征值与特征向量、二次型.每章最后有对应知识的MATLAB实例和核心知识点的思维导图.本书秉承“新工科”建设理念，侧重数学实用性并配套完备的数字化教学资源.每节习题和每章总复习题采用分层模式，其中总复习题提高篇题目均选编自历年考研真题. 本书可供高等学校非数学类专业使用，也可作为报考硕士研究生的读者和科技工作者学习线性代数的参考书.
数学,最新,概率论与数理统计（慕课版 第2版）,张天德  叶宏,"山东大学数学学院教授，泰山学堂主讲教师，山东数学会高等数学专业委员会主任,全国大学生数学竞赛山东赛区负责人，全国微课程比赛山东赛区副主任兼秘书长,中学生英才计划导师,中国大学先修课程《微积分》特聘教授。作为主要成员完成国家科学基金及山东省自然科学基金项目6项，主持或参与省部级教学研究项目5项；。在《J.Comput.Anal.Applications》、《系统科学与数学》、《物理学报》、《工程数学学报》等杂志发表学术论文50余篇；在科学出版社、高等教育出版社、清华大学出版社等出版社出版高等学校数学教科书、参考教材和专著50余部，参与编写的《微积分》入选国家十二五规划教材。曾获“山东省优秀青年知识分子”“山东省中青年学术骨干、学科带头人”“全国大学生数学竞赛优秀指导教师”“泰山学堂毕业生最喜欢的老师”““英才计划优秀指导教师”“优秀科技创新导师”等称号。",49.8,39.84,本书根据高等学校非数学类专业“概率论与数理统计”课程的教学要求和教学大纲，将新工科理念与国际化深度融合，借鉴国内外优秀教材的特点，结合山东大学数学团队多年的教学经验编写完成.本书共8章，包括随机事件与概率、随机变量及其分布、多维随机变量及其分布、数字特征与极限定理、统计量及其分布、参数估计、假设检验、概率论与数理统计在MATLAB中的实现.本书秉承“新工科”建设理念，侧重数学实用性，除第8章外，每节题型采用分层模式，每章总复习题经过精心设计，难易程度适中，并配套完备的数字化教学资源. 本书可供高等学校非数学类专业学生使用，也可作为报考硕士研究生的人员和科技工作者学习概率论与数理统计的参考书.
