书名,作者,总点击量,字数,简介
从漫威开始召唤邪神,黑衣之王,2688万,512万,残破的星体，死寂的宇宙。无数无法观测的存在于维度之间呢喃着……“伟大的黑衣之王，原初混沌之源，未来与时间之主，星空之恐怖，深渊海之主宰……”苏牧......
火影：超神礼包系统,自动98k,2684万,506万,穿越成宇智波一族的夏亚，面对着同龄人的带土、视自己为目标的止水、以及刚出生的鼬，表示亚历山大。幸好拥有无限大礼包系统，每天都可以日常开礼包！“叮......
我有一条鳄鱼分身,逆辰枫,2682万,167万,苏尘得到一条鳄鱼分身，每次进食都能进化身躯，并反馈本体。于是，他把目光放到了大海上，海底打捞！私人运输、古代沉船，海中怪物，海底秘藏，索玛里海盗......
娱乐：演员的快乐你想象不到,正儿八经的,2682万,568万,穿越到平行世界的叶欢成功考入魔都戏剧学院，成为杨老板旗下的一名签约艺人。让大家以为又是一个来赚快钱的小鲜肉。可谁料一出道就是巅峰。霍元甲；我这一......
巫族独大，全洪荒求我当妖皇！,栗芊芊,2681万,212万,萧云穿越洪荒，把还没化形的帝俊和太一给吞噬了，导致妖族无人统领，巫族无人制衡，发展迅速，称霸洪荒。巫族好战，喜食妖族，万族生存危机爆发。无奈之下......
娱乐：我终于等到粉丝成年了,松鼠_,2677万,356万,十五岁出道的沈飞，仅仅用三年的时间便成为了全国学生家喻户晓的音乐鬼才。一首《灰色头像》，让他制霸校园。一首《素颜》，引来全国青年讨论。他被誉为企......
明末：无限暴兵,追梦匪,2676万,422万,崇祯十五年，大明江山摇摇欲坠，天灾人祸不绝。李自成肆虐中州，杀福王，围开封，势力初成。满清鞑子降朝鲜，横扫*原漠北，积蓄力量。林峰携《帝国时代》......
蘑菇屋：别装！你就是娱乐圈大佬,旺仔,2664万,155万,穿越的江枫，成为陈玉琪的师哥，被雪藏三年后，加入向往的生活3节目组。三年后，他重返娱乐圈，势必称霸影视歌三栖！他是“金曲奖”的五冠王，并荣获亚洲......
军工？不，我只是汽车公司,嫂子爱盗墓,2662万,405万,穿越异界，叶秋接手了一家即将破产的汽车公司。五菱。危机存亡之际，开启了国货之光系统。【恭喜您获得延展型跃动底盘……】【恭喜您获得线阵悬挂系统……......
空军：从假冒王牌飞行员开始崛起,小贱君的空军梦,2662万,388万,穿越平行时空，江辰成了一个刚刚参加完高考的高三落榜生。原本想平平淡淡过完一生，谁曾想竟然绑定了一款名叫‘王牌ace’的系统，开局就送一座飞行模拟......
洪荒：开局成为世界树,天蓝空梦,2655万,1055万,莫名其妙穿越到洪荒世界，并且成为世界树。拥有洪荒最顶尖的跟脚，还是洪荒第一批先天大神，不弄出一番动静，都对不起自己的穿越。嗯，先定个小目标，证道......
海贼王之强化狂人,熬夜成神,2649万,383万,“艾*路！把你的恶魔果实交出来！”叶止戈站在船头上，对着艾*路说道。艾*路：你是谁啊？上来就要抢我的果实？叶止戈：哈哈！我就是大名鼎鼎的*帽海贼......
武侠之神级大师,十年磨一剑,2648万,926万,....
NBA：神级帝王,萌新天师,2640万,380万,苏白穿越了！带着篮坛全领域系统，苏白穿越回到２０１０年！从命中十万次三分开始，解锁历史上最强大的三分属性！从佛雷诺斯奇迹开始，成为ＮＢＡ历史上最......
盗墓：无双鬼差,扑街达人,2640万,389万,因为一场意外，获得鬼差兑换系统，成为一名鬼差。别人去盗墓是为了寻宝求财，而陈无延盗墓则是为了缉捕潜逃的鬼魂。危机四伏的古墓，千年不朽的机关，修炼......
重生：从街机游戏到商业帝国,白海禅,2638万,397万,1970年，重生香江马马虎虎绑定了一个重生系统。收购香江大佬的资产，做最大的资本家。泡最美的妞，玩最先进的科技。香江不存在四大家族，唯一存在就是......
洪荒：吾为柳神,风华绝代1,2636万,936万,穿越洪荒世界，于一个雷电交加的夜晚，携万道雷劫降临洪荒。以一棵柳树的形态扎根不周山下，护人族成长，为绝世柳神！一片树叶可隔断山河，一根柳枝可穿透......
西游：我的弟子们过于嚣张,诸天道场,2631万,576万,林玄穿越西游，根据系统要求建立道场。道场内只有一座书馆，书阁里也没有任何功法，只有一些前世小说。无奈之下林玄随便收了一些徒弟，数百年不曾教导，任......
特种兵：开局秒掉范天雷,冰河少帅,2630万,505万,杀手穿越特种兵世界，融合系统，只要学**就会变强。本已厌倦前世打打杀杀生活，只想和妹妹一起没羞没臊的享受生活。可一次意外，陆鸣高手的身份被意外暴......
疯狂破案之我能看见凶手,火腿泡面,2625万,636万,周泽穿越平行世界，成为了一名刚入职的警察，绑定了罪恶系统，能够一眼辨别凶手。从一起人肉混沌案开始，周泽破获了一起又一起离奇的凶杀事件，一步步成为......
小欢喜： 我的未婚妻是李萌,在火影开中餐厅,2624万,537万,一觉醒来，陆远发现自己穿越到了小欢喜的世界里，而且冰山美女教师李萌，居然成了自己的未婚妻。老天，我还要考大学啊！幸好觉醒全能系统，只要看过的书都......
娱乐之从王牌对王牌开始,兰花依旧,2623万,315万,楚杰一觉醒来，穿越到了平行世界中，而且还成为了一个流量明星，马上就要登上综艺节目《王牌对王牌》的舞台了。就在这时，一款全能天王系统绑定了他，只要......
我把精灵普及全世界,我真会飞,2612万,395万,“你想钱想疯了吧？这只滋水王八你卖二十万？你良心不会痛的吗？”少女指着自己怀里顶着一颗大光头的萌萌哒乌龟不敢置信的开口。“小姐，我郑重的申明一下......
贫僧最善以力服人！,萌新很猛,2611万,1465万,大和尚金刚怒目，斜披袈裟，口诵真言：“南无加特林菩萨，六根清净歼星炮。”“一息三万六千转，大慈大悲渡世人。”陈诺来到一个邪魔丛生，怪异肆虐的世界......
奥特曼之神级抽奖,寂寞v暴走,2608万,299万,重生在奥特曼世界，成为了一个等级为1的小萌新。不会光线技能怎么办？我抽！不会特殊技能怎么办？我还抽！不会体术技能怎么办？唉！我继续抽！独立自强，......
一切从灵魂摆渡开始,沉金,2608万,1059万,简介：陈夜穿越了，带着猎鬼系统，来到了灵魂摆渡世界！然而，他发现，这个世界并不仅仅是灵魂摆渡那么简单！天地异变，恐惧降临！有倾世冥王，绝代风华，......
大秦之日月同辉,15902914756,2606万,281万,遍观中国历史，辉煌始于秦朝却如流星一般闪耀而过；反思中华文明，政治建于秦朝而如魔咒一般束缚千古。辉煌的大秦，二世而亡不是我想要的；严苛的大秦，严......
直播：人在草原，开局被国宝赖上,山村都市,2605万,600万,（简介无力，有兴趣的话，可以直接看正文！）爱蓝天、爱绿树，更爱浩瀚无垠的大*原！林凡回到*原，得到系统，开启了一段悠闲的*原生活。“获得大师级箭......
一九三七――西北望射天狼,虎躯一震,2601万,426万,公元一九三四年，华夏西北发生了一件大事――四马拒孙，是役导致西北之地狼烟处处、尸横遍野……毕业之际的宁志远与室友聚餐道别，一朝梦醒，竟然穿越了时......
海贼世界化身万界强者,仙女老婆,2599万,1087万,穿越到海贼王世界，成为赤犬和黄猿的同批学员。没有金手指系统，只有一个强大的恶魔果实能力。幻化果实！幻化一切！拥有被幻化者的一切力量。自此，一个让......
三国：开局继承了梁山,拜见哥哥,2599万,343万,刘羽重生汉末，就遇到了官军杀良冒功，危急之时，最强山贼系统觉醒！开局梁山马军五虎将纷纷杀出，之后各路人杰皆入梁山。当皇帝太累，当人臣又怕遇不到好......
洪荒：我是一个锻造师！,鸿蒙圣尊,2591万,515万,一觉醒来，陆恒发现自己穿越到了洪荒世界，原身准备拜师元始天尊，奈何天赋太差遭拒。好在，我有神级锻造系统，昆仑山上捡到一块石子。“叮，发现造化青莲......
都市：开局获得抱丹修为,三笑留情,2589万,306万,赵政穿越到了一个平行世界，这个平行世界居然还是数百本小说融合的世界？他居然是这些世界主角的背景板？不是在给主角送经验，就是在送经验的路上？还好赵......
重生之大收藏家,都市文风,2580万,756万,一觉醒来，重生到了平行世界，随之而来的还有一个超级收藏系统！“叮，恭喜宿主成功收藏元青花大罐，宿主可以从以下随机奖励中任选一项，奖励一、王府井1......
都市：从参加真人秀开始,娱乐向,2579万,733万,当沈知醒来时，发现自己成了一档和女明星合租的真人秀节目的幸运素人嘉宾！第一期女嘉宾竟然是热芭、杨蜜、小鞠和杨桃！四女一男共处一个屋檐下生活30天......
次元的史莱姆,天行,2571万,365万,一只善良史莱姆建立了一个超级工会，数位魔王为了游戏道具打架，天定非酋的巨龙誓要氪金改命，天使与恶魔喝酒打牌，每天都有有趣的事情发生，“今天干什么......
洪荒：求求你，出关封神吧！,两场屠杀,2560万,572万,穿越洪荒，开局夺舍通天教主。夺舍后，通天慌了，毕竟对于这个封神第一悲剧谁不知道？！于是他立马宣布举教闭关，隐世不出了！得知这个消息，元始、老子、......
洪荒：最强魔祖罗�T,神魔无念,2551万,857万,穿越混沌，成为三千魔神之一的魔祖罗�T。开天大劫？众魔神要阻止盘古？“不不不不不，恰恰相反，本座要帮助盘古开天。”凶兽量劫，神逆要被鸿钧斩杀？“不......
武道行,灵风雪饮,2551万,106万,"国术气血,至诚之道,前路何方?练气吐纳,内功真气,路在破碎?极限修行,炼体聚气,由外而内?武道之路,究竟前路如何?三分归元,诸天筑基,人仙武道,......"
娱乐：从好声音开始制霸,医生大唐向往,2550万,557万,穿越平行世界，获得娱乐教父系统，成为陈雨琪的师弟，在这个文娱匮乏的世界里，一切从《好声音》开始――一首《一起走过的日子》唱出了无数人心酸历程。一......
大秦：从弃婴到千古一帝,没头脑啊,2541万,369万,秦王政二十六年，六国余孽派出女刺客接近扶苏，不料因恨生爱，怀上赵彻！刚刚出生的赵彻被遗弃在河流之中……恰逢祖龙大巡天下，在饮马放松之时，顺流飘下......
重生：从告白开始,养乐多,2540万,367万,重生愿望清单：1：向班长表白√2：坚持锻炼身体，并督促老爸戒酒√3：三个月内赚到第一桶金√4：挽救秋哥的生命√5：两年内实现财务自由√6：五年内......
重生：开局罐头换飞机,打飞机,2539万,363万,1991年，江城从罐头换飞机当倒爷开始。老大哥：九轴五联动数控机床你要不要？岛国进口，绝对的最新技术。大毛子：你要汽车生产线不要？虽然落后了点，......
大唐：我就要做纨绔,流浪小生,2538万,650万,穿越到大唐，成为了程咬金的小儿子程处忧。……程处忧，只想做个纨绔子弟，过着混吃等死，没事调戏一下小侍女的快乐生活。....
玄幻之无上人皇,启明星,2537万,372万,穿越玄幻世界，成为九皇子！父亲强势无敌，为无上人皇，横行诸天万界。大皇子，伴生四足四耳绿铜鼎，乃天生皇者。二皇子，伴生幼年天凰，天生仙凰体，无上......
这是二次元吗,灵月红蝶,2532万,464万,新书在舒克，笔名一样，裙子里有福利……（qun号：**）....
僵尸：开局被九叔逼着出师,天定量法,2523万,567万,穿越到了僵尸世界，成了九叔大弟子，并且获得了一款号称可以熔炼百家道术的道尊系统，只要有足够的功德值便可以不断抽奖，提升自己甚至是身边的人。金光咒......
洪荒：我把圣人打造成了诸天打手,万能电钻,2522万,769万,苏辰穿越到混沌，跟盘古一起开天辟地之后，就在洪荒沉睡了，一觉醒就被邀请加入大道打手裙，并且成为裙主。果断邀请洪荒诸神加入，结果洪荒画风彻底变了。......
开局：星际女兵迎接首位男舰长,三月流年,2522万,404万,孙贺穿越之后成为一支只有女兵的星际舰队首位男舰长。糟糕落后的星舰，贫乏的生活环境，以及舰队即将解散的困境。没有星舰？那咱们自己造！从星际护卫舰到......
向往：刷玉米成神,85436669991,2521万,174万,俗话说得好，勤劳的鸟儿有虫吃，而当勤劳的林蒙出现后，向往的生活画风就完全改变了。何老师：“够了！够了！柠檬你摘的玉米家里已经放不下了！”黄老师：......
洪荒：开局一棵树,宝哥最爱蓝白纹,2521万,273万,洪荒大陆某处。太一手持混沌钟，怒气冲冲：“红云受死！”红云：“喵喵喵？！”镇元子抓抓头发：“贫道这一巴掌下去，太一你可能会死！”……穿越洪荒，居......
我，落榜去当雇佣兵！,曾经学霸,2517万,579万,提问：高考落榜，去当雇佣兵有前途吗？昔日学霸高考落榜。只身前往北非成为雇佣兵。迫击炮弹打不中？物理公式精准计算炮弹落点！......地方武装份子......
精灵时代：一键挂机,问就是爱过,2515万,403万,（慢热爽文，值得一看的精品精灵文！）这是一个人类与神奇宝贝共存的时代。在陈乾在毕业领取精灵的这天，金手指终于觉醒了……“一键练级功能开启！”“叮......
洪荒：开局下载圣人修为,我真不想上天榜,2509万,544万,穿越洪荒，江尘亲眼看着三清在自己眼前成圣，也在这时超神下载系统激活！凭借系统，江尘能够下载他人神通、体质、功法、灵宝、修为……乃至世间万物！听到......
被白娘子错当成了许仙怎么办？,晓陆探花,2506万,579万,【飞卢小说网独家签约小说：被白娘子错当成了许仙怎么办？】已有百万字老书保证，请大家放心。陆逸穿越到了古代，在怡红院对面开了一家药铺，成了一名妇科......
我都成军工大佬了告诉我开学？,特种兵吊,2504万,680万,“开学推迟，大家准备去做什么？”“打工！”“在家玩游戏！”“你呢陈放？”“当然是去做军火商啊！”陈放意外激活‘军工系统’，趁着假期直接在境外开了......
洪荒：大道小说阅读器,魔道真人,2497万,359万,林阳熬夜看小说猝死了，还穿入洪荒世界成为普通人族。在这里人族生存环境艰难，修为低微，还会受到妖兽们的欺负。幸好有伴随而来的大道小说阅读器，只要阅......
精灵：开局一只火神蛾,准神至尊,2496万,444万,夏目穿越到与精灵融合的平行世界，在这个世界，精灵融入人们生活的方方面面。南极之地，风雪之下，有神秘的身影跃过，渐行渐远。炽热沙漠之上，有恐怖身影......
全忍界直播，开局播放博人传！,大侠,2496万,369万,白宇穿越火影世界十几年，终于在中忍考试最终比赛开打的时候，开启了神级忍界直播问答系统！从此开始，全忍界的忍者都懵圈了。【大蛇丸：什么？我在未来有......
开局打赏主播，奖励帕加尼,墨家都市,2492万,350万,叶然绑定系统，打赏主播等任何“随意”行为能够获得暴击奖励！“您打赏了一次主播，暴击奖励获得价值8000万帕加尼风之子跑车一辆。”“您坐了一趟国际......
报告首长，长生村出世了！,兵王都市,2488万,625万,“报告首长，长生村……出世了！”这一天，随着一支部队意外闯入一片世外桃源，一个神秘的村庄被揭开了神秘面纱的一角。而当南美的殷墟横空出世；埃及的古......
假面骑士：天道总司,神10,2487万,384万,（2019，平成二十周年，所有人只需要记住一个人的名字――他叫天道总司！）Decade的出现，一时间引起一段潮流，毕竟打爆了所有骑士的存在。于是......
洪荒青麟道,三洞大学,2484万,311万,于风穿越成为不周山一尾先天灵鱼，觉醒无限升级系统，只要潜能点足够，便可升级一切！叮咚，恭喜宿主，消耗潜能点，血脉进化为混沌青龙！叮咚，恭喜宿主，......
高武：开局窃取不死神凰天赋！,星空鱼,2480万,481万,方文穿越到被深渊侵蚀的世界，魔物横行，众多王者立足大地，震慑万灵，太古诸皇的阴影开始蔓延。这里的人族传承了人祖的修炼之法，能够沟通古老的灵墟，诞......
灵气复苏：开局亿万年魂环,雪流沙,2478万,499万,一场意外，高三学生苏瑜穿越到了灵气复苏，天赋为尊的平行世界，并意外觉醒唯一至高天赋――魂环天赋。黑铁境，觉醒千年力量魂环，力量增幅100倍，碾压......
玄幻：天道是围着我转的,臭豆芽,2471万,452万,实力、天赋、魅力、背景……当一切都早已盈握在手中的时候，年仅十岁的方明镜发现，这世界就是围着自己转的！只不过看着聊天裙中……八云紫：“小裙主的第......
一首少年华夏说，引爆乐坛！,情歌天王007,2470万,344万,秦烨穿越到平行世界，成为国内顶级学府的高材生！毕业前夕，导师布置了一个名为【古文学的传承与发展】论文试题！秦烨毅然进入歌坛！凭借一首《少年华夏说......
全民修仙：百倍奖励,飞翔的白鸟啊,2463万,336万,徐毅来到了一个全民修仙的世界，所有人在十八岁时开始接触混沌世界，进入无数大、小世界修行。徐毅获得百倍奖励系统。猎杀一级魔兽，找到一颗一阶魔核。系......
我，站地记者,小果粒橙,2461万,1017万,身为战地记者的江诚被一款突如其来的系统砸中，从此以后，全球军工业开始了大洗牌，诸多军工巨头陷入了破产危机。随着一家令人恐惧的公司浮出水面，各方势......
四合院：从考大学开始,武侠公子,2457万,266万,穿越六十年代，成为何雨水的孪生哥哥，获得神级学霸系统，第一件事就是要考大学！他要改变何雨柱的命运，让秦淮茹无法再吸何雨柱的血。他要为时代的列车加......
NBA：开局模仿库里,粉墨回归,2455万,611万,穿越2015年，苏岩获得最强模仿系统，模仿的越像原人物，获得认可度越高，得到的实力也越强。库里，麦迪，乔丹，大鲨鱼，艾弗森，科比......库里......
妖魔复苏：开局满级五雷正法！,冯宝宝,2453万,349万,一觉醒来，姜楚然发现世界变了，变得处处充满诡异，恐怖的事情接连发生。好在，他觉醒了神级天师系统，降妖除魔便能获得逆天奖励！“您获得了满级五雷正法......
Moba之冠军战队,夜魅Ghost,2451万,102万,不是在gank就是在gank的路上，永远都在别人身后潜伏着的鬼魅，团战的开启者，c位的噩梦，召唤师**唯一的野区王者――RNG.Ghost姜白不......
谍战：最强特工，我成了军统信仰,风筝21,2449万,563万,一朝穿越，苏卫穿越到由风筝、伪装者、风声、潜伏等等谍战融合的世界，成为了军校学生，和明台、于曼丽成为同学。毕业后，苏卫奉命潜伏回魔都重建军统魔都......
海贼：最强海贼商人,寒夜孤灯,2448万,523万,林恩来到海贼世界，他拜师霜月耕三郎，他的剑术强大无比，就连香克斯也认同的强大。然而，他不想当海贼，也不想当海军，而是选择成为一名资本家。“有钱就......
我能亿万倍下载天赋,阿瓜,2446万,408万,穿越平行世界，恰逢灵气复苏，本以为自己会一飞冲天，却不曾想到，碌碌无为，蹉跎岁月。好在遇到红颜知己，也算是家庭幸福。只是就在中年时期，因气血下降......
爱情公寓：我的女友叫诸葛大力,洪荒见大明,2445万,839万,穿越平行世界，成为拥有学者综合征，从哈佛医学院学成归来的医学生，并且开局就被诸葛大力告白成为她的男朋友，入住爱情公寓。胡一菲：“秦远简直就是一个......
为了专升本，开局公布可控核聚变,灯煌之始66,2444万,447万,“儿子啊，我们是书香门弟，就没有博士以下的，像你这样的专科毕业，相亲都不会有人要，赶紧先读个本科....”随后，一个“请问研发出了可控核聚变可以......
洪荒：我真的没得选择！,忘忧鸟,2443万,580万,紫玄穿越洪荒，获得神级选择系统！选择一：拜师通天教主，奖励：一个封神榜香火神位，永困封神榜！选择二：拜师原始天尊，奖励：一个西方菩萨名额，成为西......
娱乐：人在向往，直播乡村生活,向往天榜的小白,2435万,394万,人在向往，开启了山村直播。唱歌演戏都是浮云，就想过点悠闲的生活。“小青，吃东西斯文点。”叶欢敲了敲小青的头颅，这是条三米多长的青蛇。它，委屈的点......
都市:神级推演系统,孑身,2434万,356万,出了车祸，从2020年重生到了1999年高考的考场上。面对着高考的试卷，江寒两眼一抹黑。不过幸好，重生还附带着金手指，最强推演系统绑定。“叮……......
都市：从当爷爷开始,特工直播,2434万,335万,肖途失踪25年归来，容颜未老，却多了几个儿女和一堆亲孙子！于是乎首富肖途慌了：第一次当爷爷！有没有人教我怎么带孙子？“乖孙女啊，啥时候咱家那个明......
娱乐：开局蘑菇屋就被烧了！,我的妹妹,2421万,349万,十年前，如日中天的苏星河宣布退休。十年后，《向往的生活》第四季开播，可谁也没想到，开拍前蘑菇屋遭遇火灾。距离正式录制还有不到十个小时。怎么办？小......
娱乐：从夺舍李逍遥开始,大唐,2420万,659万,夺舍成伤愈准备复出的胡戈，却在系统安排下沉寂了三年。再复出时，时代已经变了。神仙姐姐：“别拍戏了，我养你啊！”大蜜蜜：“只要你能拿到视帝，你就脱......
火影之日向阡陌,秒年升毫秒,2419万,276万,在火影中能量无限......在海贼中肉身永恒......在死神中灵魂不朽......最后..........
视频通历史：开局盘点十大帝王！,阳光后见彩虹,2417万,502万,陆离穿越平行世界，成为了一个普通的历史向短视频制作者，突然获得了一个视频网站的邀请。视频网站名为“苍穹之上”，竟然连通历史上所有朝代的平行位面！......
我在西游反套路,吾乃扑街天帝,2414万,579万,穿越西游，获得反套路系统。“叮，宿主晚出生三年，反套路成功，奖励……”“叮，宿主不去拜师，反套路成功……”如来：特喵的，石猴怎么还不出世？菩提：......
让你做手枪，这机甲什么鬼？,战争之王1,2414万,604万,场景一：领导看着被一枪打成废铁的车辆道：“我让你研究的是新式手枪，你给我弄出个电磁炮是什么鬼！？”叶白：“冤枉啊领导，您不是说要可便携、威力大、......
游戏王：开局阴间卡组，致郁世界,叫我相公,2413万,583万,江合穿越决斗世界，激活【最强决斗致郁系统】，开局一套阴间卡组。只要致郁对手，就能得到对手的情绪值奖励，从系统兑换各种卡组与能力。极致削血流卡组，......
都市：我，理财高手,脉动爆火,2407万,368万,龙井派出所中。一个妇女慌慌张张的进来喊道：“警察，我银行卡里的二十万被偷了。”说完，警局高度重视，瞬间展开全方位勘察。只是，一个小时后，随着破案......
港片：做生意，托尼三兄弟来投靠,场主,2403万,453万,楚白重生平行港片世界，成为落魄富商楚家的唯一继承人，家道中落父母车祸而亡，家里只剩西贡一个破落小码头，为了得到警方的支持，成功的加入警队，成为一......
娶了赵小骨，奶爸的快乐你想象不到,小骨奶爸,2403万,612万,苏叶重生平行世界，先知先觉，大马小马的成功由他一手打造，身价何止万亿！在厌倦了无敌且枯燥的日子，只想过上平平无奇的乡村生活。但随着向往节目组意外......
壮士，干了这碗毒鸡汤,东鹏特饮,2400万,289万,沈飞开局穿越至一个幽默缺乏的平行世界，满大街都是各种励志名言，洗脑鸡汤!并且自己的身份还是市广播电台，[深夜心灵]节目的副主持人。同时，-款名叫......
我！通天绝不成圣,任我行,2397万,260万,于三清化形之际，穿越洪荒。夺舍了三清之一的通天教主。正值天下间第一尊圣人鸿钧于紫霄宫开讲大道。望着紫霄宫里，那六个代表天定六圣的紫金蒲团，通天顿......
谢邀！人在火影，已娶纲手,跪求天榜,2397万,919万,穿越到火影世界，取代波风水门成为第四代火影，并迎娶了纲手后，罗皓突然收到了万界聊天裙的邀请。刚入裙的他就听到了一阵熟悉的大笑。白胡子：“咕啦啦啦......
僵约：我被马小玲挖了出来,僵尸码字姬,2397万,235万,穿越成了马小玲未婚夫，还被马小玲从地里挖出来。“叮，最强僵尸系统开启！”“吸收盘古僵尸精血，开启无限进化，血脉无上限！”二代僵尸、一代僵尸王、变......
抗战：独自发展，我带回个美械师,老战归来,2397万,517万,老兵苏正穿越回抗日时期，成为新一团的一个兵，和李云龙正面突围了坂田联队。苍云岭一战后，李云龙为了不被撸，向老总立下军令状：三个月内把新一团发展成......
火影：我的女儿是雏田,妙木山哈,2391万,405万,穿越了，来到火影世界，变成了日向日足，获得了挂机系统。……安静的坐在院子的躺椅上晒着太阳，小雏田在前面认真的捶着腿，小花火在旁边乖巧端着果盘，宁......
从魔禁开始的综漫,潜行鱼,2389万,398万,弱小是最大的原罪。试问:你所追寻的名为何物？“我所追寻的乃是快乐，被叫做怪人也好，坏人也好，也无法挡住追寻快乐源泉的步伐。”“我所追寻的乃是神秘......
留学归来：搞了架飞机开回家,都市留学生,2388万,644万,又名《留学归来：偷了架f22开回国》网友：驾驶全球最先进的M国F22战机，是种怎样的体验？陆轩：谢邀，刚下战机，人已归国。网友：马的真能吹牛逼。......
Moba：我！从打职业开始无敌,二白无敌,2385万,261万,宋一辰重生S7，开局就是首秀刚输。被换下场，系统在觉醒，小替补默默观赛。总决赛第二场，RNG被WE全面碾压，二比零落后，陷入绝境，全员崩溃。“叮......
神话：在青蛇中修炼遮天法,飞跃红海,2385万,561万,陆长生穿越神话世界，成为一道观弟子。紫气崖边，系统觉醒，开局奖励遮天法：《道经》、《西皇经》、《虚空经》、《太皇经》、《太阴圣经》、《太阳圣经》......
排球少年之极速王牌,逗比黑天使,2378万,238万,被“运动之星”系统选中的江辰，意外进入了排球少年的世界，开始了运动地图热血之旅。“没落的强豪，我来帮你重塑丰碑！”“无法飞翔的乌鸦，我来帮你振翅......
洪荒：我，九转金丹，都想吃我！,浅暮流殇,2372万,435万,穿越洪荒，成为一颗九转金丹，成为洪荒第一颗化形成人的丹药。拜师太清，苦修丹之大道，令药性越来越强，越来越恐怖。最终令自己变得，比唐僧肉更唐僧肉。......
娱乐：开局和胖迪一起签到向往,碳水教父,2372万,369万,林逸，一个穿越者，开局和胖迪一起签到向往。他帅气，他搞笑，他博学，他多才多艺，他又谦逊，他也嚣张，他也狂傲，向往因为他多了无数的色彩，多少个女神......
我在诸天很低调,被猫咬了,2368万,352万,我真不是老阴逼！我是可以轮回转世，我是每次转世都能随机获取1～3种本命天赋，可我是好人。第N次轮回：我是手握重兵的王爷没错，可为什么世人都认为我......
鹰酱，你为何低下傲娇的头？,思钱想厚啊,2365万,480万,陈楚穿越到01年的龙国，正值龙国购买了第一艘半废弃航母。前世龙国花了11年时间，才修复完成。但陈楚发现，自己居然能解析那些卡脖子技术！他找来一艘......
封神：让你代管截教，全成圣了？,橘子大西瓜,2364万,459万,林天穿越洪荒，成为通天座下大弟子，因为激活神级写作系统，并且深知截教结局，他在闭关之后，一直苟到了封神。通天前往紫霄宫议事在即，于是便将截教事务......
全职猎人：分解变强,火影猎人,2364万,356万,来到全职猎人的世界，带上了疑似DNF的分解机。分解枪械，得到枪械技巧。分解刀剑，得到剑术技巧。分解尸体，得到念能力技巧。分解奇美拉蚁，分解黑暗大......
龙珠之赛亚人会武功,晨旭,2364万,850万,新书《龙珠之界王神传奇》，朋友们请给个收藏！地球人武学迷董武，重生七龙珠一个普通赛亚人压榨潜能？那是最蠢的武学，应该是增加潜能让人体进化**地球......
人在大清，我把康熙揍趴下了,朱七七1,2363万,253万,康熙四十五年。长江泛滥，淮南大水，而大清官吏上下其手，民不聊生。那一年，张牧来了。第一阶段，康熙：贼寇只是疥藓之疾，不足为虑.第二阶段，康熙：小......
末日：开局百万神级选择,都市末世,2363万,351万,1，一名性感妖娆的美女；2，一个能让自己瞬间变厉害的异能。1，一辆末日超级战车；2，一座资源丰富的超市。1，一栋暂时安全的住处；2，一具不会感染......
重生：从漫画之王到商业王朝,小醉侠,2362万,341万,重生发现自己只是一个偷渡香江的偷渡客。这是1978年，大陆开放，世界开始进入了一个极大的繁华世界。香江的妹子们正值出道，从现在开始到未来十年都是......
武侠：我出关就是陆地神仙,陆地仙王,2357万,530万,叶然穿越综武世界，成为张三丰师兄，随后觉醒修仙系统，却只得到一本修仙功法，还被坑爹的要求闭关百年，突破金丹境。六十年后，就在叶然突破金丹前夕，无......
洪荒：我祖龙，开局选择龙族退隐！,将江江南,2355万,459万,穿越洪荒世界，开局成为龙族首领祖龙，沈龙表示压力山大！人家三清身份尊贵，背景深厚，能成圣人。女娲捏人造人，福泽深厚，能成圣人！接引准提脸皮够厚，......
山村直播：开局签到领国宝,悠闲散人,2355万,851万,回到山村老家的李然得到一个系统，第一天签到就领养了一只国宝，直播间网友全都惊呆了――“这是真的国宝？不会是染色的松狮吧？”李然：“这位大妈是不是......
三国：开局用玻璃杯换了个爵位,神豪海贼,2353万,1038万,“巧夺天工，巧夺天工啊，这世上竟然还有此等宝物，哈哈哈哈，好啊！“皇宫内。”刘玄看着上方满面红光的抓着玻璃杯的汉灵帝，默默的对汉灵帝身旁服侍的大......
逐梦江湖――记忆修复系统,墨宇凡,2350万,196万,吕奉先出身武医世家，祖上人才辈出，在武学和医学上均颇有建树。因种种原因，他未能继承祖传的医术和武学。和千千万万个武侠迷一样，吕奉先内心深处也蹲守......
直播：一辆房车和呆小妹旅游开始,20岁想打职业,2349万,521万,穿越到蓝星，杜景获得旅行签到系统，开局获得一辆黑科技房车！机缘巧合之下，呆小妹成为杜景的旅伴。两人一辆房车，悠闲的旅行直播开始！澄清的高原湖泊、......
风云：在天下会里当喽��,吃瓜众,2348万,238万,谢玄穿越了来到了风云世界，获得了属性球拾取系统，可以从强者身上获得强力的属性球，从那时开始，他决定了，当然是加入了当时最强的天下会，当一名最强的......
全球御兽：神级御兽师,温宁,2348万,514万,蓝天白云被乌云盖顶，雷光爆裂之中，一只太古雷龙仰天咆哮！十万雪山风雪交加，霸主暴雪巨熊一掌直接引起雪崩！罕无人迹的神秘雨林之中，九头魔蚺击杀了雷......
