书名,作者,总点击量,字数,简介
大叔的一击综漫,兰陵小��,4612万,1063万,【火影卷已经完结】【一击男篇已经完结】【圣斗士篇已经完结】【奇幻异世界已经完结】【海贼王画卷已经完结】【高达卷已经完结】【型月世界】【漫威世界】......
都市之破案狂少,叶小阳,4611万,485万,叶阳根本想不到，穿越之前被全球通缉的他，竟然会重生在一个军警之家里！爷爷是某军区的一把手，奶奶是刑侦系统里的知名专家。父亲是位高权重的公安之长，......
玄幻三国之最强帝王,火到没朋友,4598万,659万,日食降临！天道智脑带着三国位临地球世界！从此，天地大乱！三国玩家成了世界的主旋律！杜宇是重生者，有着二十年后世记忆的他，先是抢占前世威震天下的镇......
机战之铁华狼王,遗失之虹,4587万,370万,永不凋零的钢铁之花，在各个世界之间穿梭寻找归宿“呐，奥尔加，要前进对吧”“是啊，三日月，前进吧，不要停下啊”“嗯，巴巴托斯也一样不会停的，一起回......
直播之单挑荒野,贝爷,4585万,602万,【新书《直播之荒野大逃杀》已发！】一觉醒来，林贝发现世界变了。这里没有贝爷，没有德哥，没有荒野直播。于是，林贝张开双臂，向着全世界高声呼喊：我是......
我能一键修炼,青太白,4569万,1358万,解锁一键修炼系统：无限倍修炼速度，一秒一个大境界！解锁一键练功系统：功法瞬间满级，同时修炼1万部功法！解锁一键分身系统：100%本尊实力，可自爆......
食戟之大美食家,会飞的鲨,4566万,1000万,唐毅带着大美食家系统穿越食戟之灵，任何料理在他的神之舌品尝下都将被复制，手持S级厨具的他，将要给远月学院带来一股美食的风暴！“唐，昨天世界美食会......
无限影视之小号狂魔,牧方,4565万,598万,小号狂魔叶承望穿了，到不同世界的身体，竟然是自己剑三的小号们……一个白裙双马尾的萝莉，面无表情抽出腰间重剑，抽飞公孙乌龙。一个光头的小和尚，伸手......
万界登录之全知全能,嗨到最晚,4561万,1059万,一觉醒来，世界变了，他没有变，在这个都市当中，万界开始降临整个世界，而人类也拥有着登录万界的能力，然而在这里游戏化的一个个世界当中，这世界的信息......
综漫之最强训练家,�g�{����,4544万,1259万,穿越到神奇宝贝世界成为原主角的小智，将如何走出一条不可复制的强者之路，并最终成为最强的训练家，华丽的忍术，诡异的瞳力，强大的体术，是在这个世界留......
不死者之王,时崎狂三,4543万,1212万,每日5至10更甚至更多，新卷【热诚传说X】开启！【不死者之王】、【学战都市+机巧少女+落第骑士+精灵使的剑舞】、【Fate/Zero】完结！....
奥特曼世界里的阴阳师,G330室长,4536万,646万,看过了在奥特曼世界变成奥特曼、变成怪兽闯荡世界，那你们有没有看过一个阴阳师在奥特曼世界搅风搅雨的呢？只是，这个阴阳师和传统阴阳师不太一样，因为他......
都市之巨星归来,冰封千里,4532万,509万,叶明穿越到平行世界，只是这身份有些尴尬啊。18岁出道，一炮而红，只是因得罪了公司老总，被雪藏三年。铁打的娱乐圈，流水的明星。昔日人气早已不在，还......
证道于诸天,禹余清微道人,4520万,663万,末法世界，人心似鬼，小人遍布！以三十六岁之龄证丹劲的大宗师偶获机缘，得世界初开之至宝“万象寰宇图”幻假成真，穿梭幻想世界，成不朽不灭，无上混元大......
网球王子之超神系统,解冻,4519万,1843万,最嚣张的《网王》，最无敌的《黑篮》，最霸道的《火影》，最巅峰的《龙珠》，最完美的《足球小将》，最残酷的《古剑》，最热血的《灌篮》，最强的《排球少......
武侠：开局执掌全真教，截胡小龙女！,神殿十三,4507万,860万,神雕世界，我为全真掌教，全真七子，跪地俯首，尊我为主...大秦世界，我为道家之主，嬴政尊我为师，执弟子之礼...风云世界，我为至尊宫之主，天下势......
从一拳超人开始,大师傅,4493万,859万,"宅男林白被“命运之门”选中，进入无限的世界试炼。《一拳超人》完结，《妖精的尾巴》完结，《海贼王》完结，《斩・赤红之瞳》完结,《火影忍者》完结，《......"
种子培育大师,种子大师,4492万,745万,方远意外得到了种子改造系统，别人都是得到随身空间种田赚钱，而方远则是高价贩卖改造的植物种子。抗旱快生长的盆栽草本蔬菜，结合了水葫芦生长特性的野生......
倚天之崆峒门徒,小井,4488万,750万,为毛别人穿越不是猪脚，就是第一配角的？我穿越的就是什么三无门派啊！什么？父母还是被谢逊干掉的？孩子，努力学武，日后为你父母报仇！彼其娘也，这不是......
废墟求生：我能让万物无限进化,各种控,4487万,774万,牧良穿越到一个废墟世界。这个世界的大地已经失去生机，变成一片废土，水源被污染，天空被尘埃遮挡，不再有阳光照下。幸存的人类，面临着来自食物短缺、恶......
火影之无限圣杯,农夫三拳,4487万,983万,重生到宇智波，成为了宇智波鼬的双胞胎哥哥，这下可不得了，鼬是出了名的弟控，灭族的时候也许不会杀佐助，但会不会杀哥哥就难说了.....幸好随身带着......
体坛最强球员,闲谈居士,4479万,663万,重生网王世界，成为手冢国光的哥哥。当下还是高中生的国中时代。但全国的争锋依旧激烈，平等院等人崭露头角。“在这个时代，我才是当之无愧的NO.1！”......
海贼之神级掠夺系统,广西雨神,4477万,276万,夜风穿越海贼世界，激活神级掠夺系统！掠夺美女，可以增加寿命！掠夺能力，可以比原能力者更强！战国：夜风是第一个十几岁就敢单挑海军本部的人！卡普：铁......
大唐熊孩子之神探狄仁杰,龙门江月,4469万,732万,【诙谐、搞笑、涨姿势】穿越回大唐，成为年仅五岁的熊孩子狄仁杰，同时绑定了全能神探系统。“叮！触发‘狄府鬼影’任务。可获得奖励：造纸术！破案值：1......
我的老婆是赤练仙子,枭岩,4466万,828万,少林之战，胜负如何？终成谜团！华山论剑，剑魔独孤！重阳祖师再创巅峰！新五绝最后究竟谁为强者！谁为输家？江湖悠悠，鼎峰之战使得系统崩溃，传送至结界......
红警无敌,一条咸鱼,4458万,871万,薛霖带着红警系统穿越到刚沦陷的北境。此时，倭寇入侵，北境沦陷。面对如狼似虎的入侵者，薛霖左手无限资金，右手任务抽奖，脚踢倭寇，拳打侵略者！于乱世......
登游万界之我知道剧情,秀剧情,4455万,911万,随着人类拥有登游万界的能力后，全球各大权威杂志都说科技时代早已经是过去式了，被登游者时代所取代。“对于以上这一种说法，请恕在下不敢苟同，更加标准......
我家古井连万界,夏日、微凉,4452万,466万,李飞羽做了个很奇怪的梦，梦中古井变异了；李飞羽一觉醒来，然后发现自家的古井居然可以穿梭世界，李飞羽表示不能淡定。....
海贼王之剑豪之道,流光百世,4448万,1025万,没有所谓的正义与邪恶！唯有弱小即是罪这个真理！在一场电磁力的实验大爆炸下，狄牧意外进入到了海贼的世界中，成为了一名年仅七岁的CP训练基地的学员！......
海贼之究极果实,无唯,4432万,848万,身为新兵，却能训斥黄猿。身为中将，却能命令大将。“卡普，难道你体会的痛楚还不够吗？”....
军统之特工之王,黯然销魂,4431万,686万,1936，秋，一名青年从德国留学回国，回归军统这个黑暗王国，开始针对侵华日军特务机关毁灭性的打击。南造云子:“他不是人，他是魔鬼。”酒井樱子:“......
无限之从灵魂摆渡开始,不睡觉的芒果,4426万,774万,沈楠，被主神选中，在传送的的途中遇车祸，坠落在灵魂摆渡空间，被主神碎片强行融合，看他如何在鬼怪横行，神魔乱舞的世界中瞎搅合……....
我的无限人生,消逝之风,4423万,1344万,自重生以来，长门就发誓只做强者，在无限的世界一步步前进，在鲜血与战火的伴随中，走出属于自己的精彩人生。已经历世界：火影忍者，咒怨，犬夜叉，生化危......
从零开始的传承系统,不吃鱼的猫,4413万,657万,一觉醒来穿越到RE世界，本以为要像486一样被人吊打的林恩发现自己竟然带着金手指――传承系统。每穿越一个世界就能传承一个强者的能力，还可以用成就......
海贼王之碎片提取系统,我是科学家,4413万,1226万,叶迦穿越海贼世界，获得合成系统！“叮！合成闪闪果实！”“叮！合成天气果实！”“叮！合成橡胶果实！”不仅能合成任何果实，还能帮助自己无限容纳果实能......
洪荒之太上老子,疯狂小子,4362万,627万,别人穿越，都是靓男俊女，为毛线我成为了一个糟老头子？不过不要紧，重生洪荒，建立无上玄门，成就东方霸业！吾乃太上老子，三清之首，人教教主！且看老子......
综漫：无限征服,如��丨浮笔浪墨,4349万,692万,【绝赞综漫同人】追逐神秘的旅者，抵达这名为型月的世界！根源、魔法使、英灵之座、阿瓦隆之庭、无数平行世界、还有那些耀眼的小姐姐们！无论是熔炉（间桐......
综漫：贪玩型月,如��丨浮笔长歌,4334万,335万,【绝赞综漫同人】大扎好，我系Gay提亚，探挽型月，介系里没有挽过的船新版本！豪发礼包点击即送，点一下，玩一生！挤需体验三秒钟，你造会跟我一样，爱......
漫威之最强瞳术,揍了,4327万,590万,莫名的穿越到漫威电影宇宙，琼斯还没反应过来就发现，自己貌似绑架了钢铁侠托*・斯塔克，把他浸水了，还是他的看守者...卧槽，这样不好吧！！？？不过......
都市之漫威科学家,追梦人硕风和叶,4317万,1079万,方炎穿越平行世界，激活漫威科技系统。开局就造钢铁侠！一个月研制出超级战士血清！半年发明皮姆粒子！有了大电影科技系统，直接领先世界几百年科技！....
网王之神,无敌是多么寂寞,4316万,557万,太极・揽雀尾；八极・八极崩；八卦・回天……当一个个国术技能，幻化成网球技的时候，一代网球之神诞生。“在我的字典里，丢一球，算我输！”当所有人在追......
综漫之绝地科学家,如��丨笔诛墨伐,4307万,351万,【绝赞综漫同人】科学技术是第一生产力，掌握了无数的黑科技，手搓外挂不再是梦想！英灵依凭爱迪生，以科技之光，碾碎晦暗的人理！云爆弹焚毁时钟塔！歼星......
玄幻之阅读封神,启明星的指引,4294万,503万,一觉醒来，叶尘发现自己穿越到了平行世界，但这个世界已经被玄幻化了，土地辽阔无边，强者如云，万族林立，而人族虽是天下大族，但依旧被异族轻视，随意杀......
从漫威归来的科学家,漫威之父,4290万,1051万,苏炎从漫威世界穿越回地球，所有漫威科技融合在自己的系统里。别人靠系统牛逼，而我更牛逼！我把系统给分解了！我自己就是个系统！所有漫威世界的科技都为......
玄幻之轰杀诸天,红龙十三,4268万,977万,“哈哈，这些人类不会武功，这天下是我们的了！”金轮法王狂妄的笑着。“是啊！没想到穿越过来竟然送了一堆刀俎鱼肉给我们！”白须恶僧正抓着一个无辜的平......
哈利波特之白金荣耀,吊死的鱼,4250万,606万,一开始穿越到了火影世界，成为了宇智波鼬，然而统一忍界的计划还没实现，就被暗算进了空间乱流。还好运气不错，带着写轮眼重生到了哈利波特世界，成为了布......
神话之儒道至圣,六月,4238万,860万,重生神话世界，绑定“儒道至圣”系统，步非凡自此踏上了一条精彩的道路。琴棋书画，诗词歌赋，在他手下，皆可演化玄妙变化。他曾赠青丘女君一诗：“他年我......
综漫之虚幽,东方星宇,4237万,401万,本书追求文艺，为作者练笔之作，非傲天之文，不喜请误入。....
神奇宝贝之赏金猎人,☆撒加,4235万,344万,一个数学和经济方面的高材生因为一次意外事故来到了这个曾经只存在于动画中的世界，没有先知先觉，也没有外挂系统，仅仅是依靠自身的努力和超绝的智商一步......
海贼王之杀戮吞噬,寂静杀戮,4232万,1167万,“白胡子已经斩杀，震震果实到手，下一个目标黑胡子吧，正好给他们俩凑一块！”“这一次斩杀完黑胡子海贼团实力又得增长到前所未有的高度……”....
爱情公寓之盗墓系统,发丘中郎将,4221万,838万,穿越了！这没什么！但是他的穿越姿势是不是出现了什么问题？穿越到爱情公墓……不对，是爱情笔记算是怎么回事啊！错了，是盗墓公寓？就是这么回事吧！而且......
向往的生活之传奇诞生,落雨青阳3,4215万,1024万,从向往的生活开始绑定尊皇巨星系统！获得歌唱精通将一首首经典传唱！获得厨艺精通抓住各个大牌明星的胃！我凌天！最全能的巨星！！....
我！铁血悍将,老金,4212万,1515万,射击游戏资深高手玩家李云龙一夜猝死穿越到了亮剑世界，成为了同名同姓的主角李云龙，没说的，一个字：战！从此战场上多了一名令小鬼子闻风丧胆的铁血悍将......
血继限界,势不可挡,4209万,1372万,将血继限界发展至巅峰境界之时才发现原来一切不过是新的开始。“各种各样的世界吗？火影世界我能征服，其他世界我也一样能做到。”成为忍界主宰的刘皓雄心......
绝地战狼，开局技能四选一,老臣心,4198万,385万,我叫冷云峰，看电影的时候，我穿越了，特种兵的世界，随身带着最强战狼系统。每提升一个等级，不但身体会得到强化，还能获得新的战狼技能，成为自己的天赋......
全民转职：死灵法师！我即是天灾,慢途的猪,4188万,656万,游戏降临现实，世界规则颠覆，人类进入全民转职时代。魔物肆虐！秘境、副本、深渊数不胜数！恐怖与宝物共存！危险与机遇同行！唯有成为转职者！升级变强！......
大唐：武神聊天群,宁心静气,4186万,531万,贞观十五年。他以寒门之身踏入卫国公李靖府邸，成为了李府女婿。穿越而来，十五年的等待，终于熬到了系统激活的这一日。孙膑：“**主，这里是我写的孙膑......
漫威之神级医师,初见,4168万,793万,穿越到漫威世界，开局一间医馆，医馆内，可以治愈一切的伤势和疾病！而且每治疗一个人，就可以抽取该病人的一项能力！誓要做漫威最强的神医！....
全能搞事大熊猫,幺七七,4162万,652万,【新书：穿越百岁大熊猫】重生成一只大熊猫宝宝，反正做任何事情都能被原谅，那就做一个搞事情的熊孩子吧！逃离动物园，让整个城市震动，就为了吃一碗酸辣......
